sample_id,source_id,paper_id,site_name,land_use,province,n_hm_obs,n_op_obs,n_hm_elements,n_op_families,hm_elements,op_families,has_hm,has_op,hm_op_paired,is_summary_only,evidence_level,n_source,matrix_flag,readiness,qa_flag
P00208_tr2_Rangeugkg,10.1007_s00128-015-1563-z,P00208,Range (ug/kg) (Table 1 Concentrations of,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_tr3_Averagegkg,10.1007_s00128-015-1563-z,P00208,Average (μg/kg) (Table 1 Concentrations ,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00208_tr4_Detectionrate,10.1007_s00128-015-1563-z,P00208,Detection rate (%) (Table 1 Concentratio,other,,0,1,0,1,,PCBs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00228_tr1_rings,10.1007/s00128-021-03193-9,P00228,rings (Table 1 PAH concentrations in ),other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00242_s10_Target_value__Dutch_guide,10.1007/s00244-010-9590-6,P00242,"Target value, Dutch guidelines",agricultural,,4,0,4,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s11_Intervention_value_Dutch_,10.1007/s00244-010-9590-6,P00242,"Intervention value,Dutch guide",agricultural,,4,0,4,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s2_EW__S______mathrm___p_H__,10.1007/s00244-010-9590-6,P00242,EW (S) $( \mathrm { p H } 4 . ,agricultural,,1,0,1,0,Pb_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s3_EW__DW______mathrm___p_H_,10.1007/s00244-010-9590-6,P00242,EW (DW) $( \mathrm { p H } 7 .,agricultural,,2,0,2,0,"Cr_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s4_EW__OBS______mathrm___p_H,10.1007/s00244-010-9590-6,P00242,EW (OBS) $( \mathrm { p H } 7 ,agricultural,,3,0,3,0,"Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s6_pH_6.5,10.1007/s00244-010-9590-6,P00242,pH<6.5,agricultural,,4,0,4,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s7_pH_6.5-7.5,10.1007/s00244-010-9590-6,P00242,pH 6.5-7.5,agricultural,,4,0,4,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s8_pH__7.5,10.1007/s00244-010-9590-6,P00242,pH >7.5,agricultural,,3,0,3,0,"Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_s9_Canadian_soil_quality_gui,10.1007/s00244-010-9590-6,P00242,Canadian soil quality guidelin,agricultural,,4,0,4,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00242_tr3_1048,10.1007/s00244-010-9590-6,P00242,10.48 (Table 3 Concentrations (ng/g d),agricultural,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00242_tr4_5060,10.1007/s00244-010-9590-6,P00242,50.60 (Table 3 Concentrations (ng/g d),agricultural,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00258_B,10.1007/s00267-008-9268-2,P00258,"B (Table 1 Basic soil properties,)",other,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00289_tr1_River2,10.1007/s10163-005-0141-6,P00289,River-2 (Table 5. Concentrations of PBD),e_waste,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00289_tr2_Burntplasticdum,10.1007/s10163-005-0141-6,P00289,Burnt plastic dump site (Table 5. Concen,e_waste,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00289_tr3_Printerrollerdu,10.1007/s10163-005-0141-6,P00289,Printer roller dump site (Table 5. Conce,e_waste,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00319_s5__50,10.1007/s10653-016-9899-9,P00319,≤50,other,,0,2,0,1,,OCPs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00319_s6__500,10.1007/s10653-016-9899-9,P00319,≤500,other,,0,2,0,1,,OCPs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00319_s7__1000,10.1007/s10653-016-9899-9,P00319,≤1000,other,,0,2,0,1,,OCPs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00321_s2_Peiku,10.1007/s10653-017-9908-7,P00321,Peiku,other,,0,1,0,1,,OCPs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00321_s3_Cuo_E,10.1007/s10653-017-9908-7,P00321,Cuo E,other,,0,1,0,1,,OCPs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00321_s4_Cuo_Na,10.1007/s10653-017-9908-7,P00321,Cuo Na,other,,0,1,0,1,,OCPs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00321_s5_Keluke,10.1007/s10653-017-9908-7,P00321,Keluke,other,,0,1,0,1,,OCPs,False,True,False,False,A_sample_table,1,sediment_not_soil,op_only_ready,sediment_not_soil
P00355_tr2_Anningqutown,10.1007/s10653-022-01369-8,P00355,Anningqu town (Table 2 Content of PAHs i,other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00355_tr3_Qinggedahucount,10.1007/s10653-022-01369-8,P00355,Qinggedahu county (Table 2 Content of PA,other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00355_tr4_Liushihuvillage,10.1007/s10653-022-01369-8,P00355,Liushihu village (Table 2 Content of PAH,other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00355_tr5_Sishihuvillage,10.1007/s10653-022-01369-8,P00355,Sishihu village (Table 2 Content of PAHs,other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00418_AS,10.1007/s10661-022-10747-9,P00418,As,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
P00418_PB,10.1007/s10661-022-10747-9,P00418,Pb,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
P00418_s10_4_rings,10.1007/s10661-022-10747-9,P00418,4 rings,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00418_s11_5_rings,10.1007/s10661-022-10747-9,P00418,5 rings,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00418_s12_6_rings,10.1007/s10661-022-10747-9,P00418,6 rings,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00418_s7_TPAH,10.1007/s10661-022-10747-9,P00418,TPAH,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00418_s8_2_rings,10.1007/s10661-022-10747-9,P00418,2 rings,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00418_s9_3_rings,10.1007/s10661-022-10747-9,P00418,3 rings,other,,1,0,1,0,Ni_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P00612_s10_Smelting,10.1007/s11356-014-3171-6,P00612,Smelting,industrial,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00612_s2_Coke_power,10.1007/s11356-014-3171-6,P00612,Coke power,industrial,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00612_s5_Coal_mining,10.1007/s11356-014-3171-6,P00612,Coal mining,industrial,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00612_s6_Coal_mining,10.1007/s11356-014-3171-6,P00612,Coal mining,industrial,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00612_s8_Smelting,10.1007/s11356-014-3171-6,P00612,Smelting,industrial,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P00630_mean,10.1007/s11356-015-5249-1,P00630,site_mean_summary,e_waste,,7,0,7,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,True,B_site_summary,1,soil,not_training_ready_stat_row,stat_row_as_sample
P01085_B,10.1016/j.chemosphere.2006.03.076,P01085,B,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_G1,10.1016/j.chemosphere.2006.03.076,P01085,G1,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_G2,10.1016/j.chemosphere.2006.03.076,P01085,G2,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_G3,10.1016/j.chemosphere.2006.03.076,P01085,G3,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_G4,10.1016/j.chemosphere.2006.03.076,P01085,G4,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_S1,10.1016/j.chemosphere.2006.03.076,P01085,S1,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_S2,10.1016/j.chemosphere.2006.03.076,P01085,S2,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_S3,10.1016/j.chemosphere.2006.03.076,P01085,S3,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_S4,10.1016/j.chemosphere.2006.03.076,P01085,S4,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_S5,10.1016/j.chemosphere.2006.03.076,P01085,S5,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01085_S6,10.1016/j.chemosphere.2006.03.076,P01085,S6,other,,6,0,6,0,"Cd_mgkg,Cr_mgkg,Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01177_s10_Reservoir_Dianchi__China,10.1016/j.chemosphere.2022.136788,P01177,"Reservoir Dianchi, China",other,,1,0,1,0,Pb_mgkg,,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s11_Lhasa_River_,10.1016/j.chemosphere.2022.136788,P01177,"Lhasa River,",other,,2,0,2,0,"Cr_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s12_China_Lijiang_River_,10.1016/j.chemosphere.2022.136788,P01177,"China Lijiang River,",other,,2,0,2,0,"Hg_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s15_SWQS__Grade_1_,10.1016/j.chemosphere.2022.136788,P01177,SWQS (Grade 1),other,,2,0,2,0,"Ni_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s2_Lake,10.1016/j.chemosphere.2022.136788,P01177,Lake,other,,2,0,2,0,"As_mgkg,Hg_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s3_Peat_River_Fiji,10.1016/j.chemosphere.2022.136788,P01177,"Peat River,Fiji",other,,3,0,3,0,"Cu_mgkg,Ni_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s4_Yellow_Sea_,10.1016/j.chemosphere.2022.136788,P01177,"Yellow Sea,",other,,3,0,3,0,"As_mgkg,Cu_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s5_Sourth_Korea_Modaomen__So,10.1016/j.chemosphere.2022.136788,P01177,"Sourth Korea Modaomen, South C",other,,3,0,3,0,"Cu_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s6_Changjiang_River__China,10.1016/j.chemosphere.2022.136788,P01177,"Changjiang River, China",other,,4,0,4,0,"Cu_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s7_Bohai_Sea__China_2.22-311,10.1016/j.chemosphere.2022.136788,P01177,"Bohai Sea, China 2.22-311.7 0.",other,,2,0,2,0,"As_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s8_Yellow_Sea_,10.1016/j.chemosphere.2022.136788,P01177,"Yellow Sea,",other,,1,0,1,0,As_mgkg,,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01177_s9_China_Three_Gorges,10.1016/j.chemosphere.2022.136788,P01177,China Three Gorges,other,,2,0,2,0,"Cr_mgkg,Pb_mgkg",,True,False,False,False,A_sample_table,1,sediment_not_soil,hm_only_ready,sediment_not_soil
P01244_CV,10.1016/j.ecoenv.2024.116927,P01244,CV,industrial,,7,1,7,1,"As_mgkg,Cd_mgkg,Cu_mgkg,Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01244_MAX,10.1016/j.ecoenv.2024.116927,P01244,Max,industrial,,7,1,7,1,"As_mgkg,Cd_mgkg,Cu_mgkg,Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,True,True,True,False,A_sample_table,1,soil,not_training_ready_stat_row,stat_row_as_sample
P01244_MIN,10.1016/j.ecoenv.2024.116927,P01244,Min,industrial,,7,1,7,1,"As_mgkg,Cd_mgkg,Cu_mgkg,Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,True,True,True,False,A_sample_table,1,soil,not_training_ready_stat_row,stat_row_as_sample
P01244_SD,10.1016/j.ecoenv.2024.116927,P01244,SD,industrial,,7,1,7,1,"As_mgkg,Cd_mgkg,Cu_mgkg,Hg_mgkg,Ni_mgkg,Pb_mgkg,Zn_mgkg",PCBs,True,True,True,False,A_sample_table,1,soil,not_training_ready_stat_row,stat_row_as_sample
P01301_C1,10.1016/j.envpol.2017.08.003,P01301,C1,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_C2,10.1016/j.envpol.2017.08.003,P01301,C2,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_C3,10.1016/j.envpol.2017.08.003,P01301,C3,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_C4,10.1016/j.envpol.2017.08.003,P01301,C4,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_C5,10.1016/j.envpol.2017.08.003,P01301,C5,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_P1,10.1016/j.envpol.2017.08.003,P01301,P1,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_P2,10.1016/j.envpol.2017.08.003,P01301,P2,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_P3,10.1016/j.envpol.2017.08.003,P01301,P3,e_waste,,1,0,1,0,Zn_mgkg,,True,False,False,False,A_sample_table,1,soil,hm_only_ready,
P01301_s2_Module_2,10.1016/j.envpol.2017.08.003,P01301,Module 2,e_waste,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01301_s3_Module_3,10.1016/j.envpol.2017.08.003,P01301,Module 3,e_waste,,0,1,0,1,,PBDEs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr2_Ringnumberd,10.1016/j.envpol.2017.07.035,P01302,Ring numberd (summarized in Tables SIe3.,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr3_MDLbngg,10.1016/j.envpol.2017.07.035,P01302,MDLb (ng/g) (summarized in Tables SIe3. ,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr4_Detectionrate,10.1016/j.envpol.2017.07.035,P01302,Detection rate (%) (summarized in Tables,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr5_Meancngg,10.1016/j.envpol.2017.07.035,P01302,Meanc (ng/g) (summarized in Tables SIe3.,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr6_Medianngg,10.1016/j.envpol.2017.07.035,P01302,Median (ng/g) (summarized in Tables SIe3,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr7_Minngg,10.1016/j.envpol.2017.07.035,P01302,Min (ng/g) (summarized in Tables SIe3. B,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01302_tr8_Maxngg,10.1016/j.envpol.2017.07.035,P01302,Max (ng/g) (summarized in Tables SIe3. B,agricultural,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01336_tr4_RangemgkgAverag,10.1016/j.envpol.2020.114016,P01336,Range/(mg/kg） Average/(mg/kg） SD (Fig. 1,other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01336_tr7_TEFC,10.1016/j.envpol.2020.114016,P01336,TEFC (Fig. 1. The concentration dist),other,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01336_tr8_Rangemgkg,10.1016/j.envpol.2020.114016,P01336,Range/(mg/kg) (Fig. 1. The concentration,other,,0,1,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01336_tr9_Averagemgkg,10.1016/j.envpol.2020.114016,P01336,Average/(mg/kg) (Fig. 1. The concentrati,other,,0,2,0,1,,PAHs,False,True,False,False,A_sample_table,1,soil,op_only_ready,
P01482_BSM,10.1016/j.jclepro.2022.135417,P01482,BSM,other,,3,1,3,1,"Cd_mgkg,Cu_mgkg,Zn_mgkg",PAHs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01482_PS,10.1016/j.jclepro.2022.135417,P01482,PS,other,,3,1,3,1,"Cd_mgkg,Cu_mgkg,Zn_mgkg",PAHs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01482_s4_BSM_WTR,10.1016/j.jclepro.2022.135417,P01482,BSM+WTR,other,,3,1,3,1,"Cd_mgkg,Cu_mgkg,Zn_mgkg",PAHs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_1,10.1016/j.jenvman.2005.02.011,P01492,1,other,,2,2,2,1,"As_mgkg,Cd_mgkg",OCPs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_2,10.1016/j.jenvman.2005.02.011,P01492,2,other,,1,2,1,1,As_mgkg,OCPs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_3,10.1016/j.jenvman.2005.02.011,P01492,3,other,,2,2,2,1,"As_mgkg,Cd_mgkg",OCPs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_4,10.1016/j.jenvman.2005.02.011,P01492,4,other,,2,2,2,1,"As_mgkg,Cd_mgkg",OCPs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_5,10.1016/j.jenvman.2005.02.011,P01492,5,other,,2,2,2,1,"As_mgkg,Cd_mgkg",OCPs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_6,10.1016/j.jenvman.2005.02.011,P01492,6,other,,2,2,2,1,"As_mgkg,Cd_mgkg",OCPs,True,True,True,False,A_sample_table,1,soil,training_ready_hm_op,
P01492_AS,10.1016/j.jenvman.2005.02.011,P01492,As,other,,3,0,3,0,"Hg_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
P01492_CU,10.1016/j.jenvman.2005.02.011,P01492,Cu,other,,1,0,1,0,Cr_mgkg,,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
P01492_DDT,10.1016/j.jenvman.2005.02.011,P01492,DDT,other,,3,0,3,0,"Cr_mgkg,Cu_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
P01492_HCH,10.1016/j.jenvman.2005.02.011,P01492,HCH,other,,4,0,4,0,"As_mgkg,Hg_mgkg,Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
P01492_HG,10.1016/j.jenvman.2005.02.011,P01492,Hg,other,,2,0,2,0,"Pb_mgkg,Zn_mgkg",,True,False,False,False,A_sample_table,1,soil,not_training_ready_chem_label,chem_symbol_as_sample
