sample_id,x_measured_BaP_ngg,x_measured_SumDDTs_ngg,x_measured_SumHCHs_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,source_id,paper_id,site_name,land_use,province,n_hm_obs,n_op_obs,hm_elements,op_families,matrix_flag,evidence_level,readiness,qa_flag,site_type
P00612_s8_Smelting,,,,,,0.623,10.1007/s11356-014-3171-6,P00612,Smelting,industrial,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,industrial
P01301_s2_Module_2,,,,0.17,,,10.1016/j.envpol.2017.08.003,P01301,Module 2,e_waste,,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P01301_s3_Module_3,,,,0.05,,,10.1016/j.envpol.2017.08.003,P01301,Module 3,e_waste,,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P01302_tr2_Ringnumberd,,,,,,67.0,10.1016/j.envpol.2017.07.035,P01302,Ring numberd (summarized in Tables SIe3.,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01302_tr3_MDLbngg,,,,,,0.51,10.1016/j.envpol.2017.07.035,P01302,MDLb (ng/g) (summarized in Tables SIe3. ,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01302_tr4_Detectionrate,,,,,,10769.51,10.1016/j.envpol.2017.07.035,P01302,Detection rate (%) (summarized in Tables,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01302_tr5_Meancngg,,,,,,111.1,10.1016/j.envpol.2017.07.035,P01302,Meanc (ng/g) (summarized in Tables SIe3.,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01302_tr6_Medianngg,,,,,,112.5,10.1016/j.envpol.2017.07.035,P01302,Median (ng/g) (summarized in Tables SIe3,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01302_tr7_Minngg,,,,,,10.0,10.1016/j.envpol.2017.07.035,P01302,Min (ng/g) (summarized in Tables SIe3. B,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01302_tr8_Maxngg,,,,,,1643.8,10.1016/j.envpol.2017.07.035,P01302,Max (ng/g) (summarized in Tables SIe3. B,agricultural,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,agricultural
P01336_tr4_RangemgkgAverag,0.029,,,,,0.386,10.1016/j.envpol.2020.114016,P01336,Range/(mg/kg） Average/(mg/kg） SD (Fig. 1,other,北京,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P01336_tr7_TEFC,1.0,,,,,1.327,10.1016/j.envpol.2020.114016,P01336,TEFC (Fig. 1. The concentration dist),other,北京,0,1,,PAHs,soil,A_sample_table,op_only_ready,,urban
P01336_tr8_Rangemgkg,,,,,,0.13965,10.1016/j.envpol.2020.114016,P01336,Range/(mg/kg) (Fig. 1. The concentration,other,北京,0,1,,PAHs,soil,A_sample_table,op_only_ready,,urban
P01336_tr9_Averagemgkg,0.029,,,,,0.016402,10.1016/j.envpol.2020.114016,P01336,Average/(mg/kg) (Fig. 1. The concentrati,other,北京,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P01492_s27_nature_background,,,0.05,,,,10.1016/j.jenvman.2005.02.011,P01492,nature background,other,,0,1,,OCPs,soil,A_sample_table,op_only_ready,,other
P01524_A,,,,,126.7,,10.1016/j.jhazmat.2009.08.134,P01524,A (Table 4),e_waste,浙江,0,1,,PCBs,soil,A_sample_table,op_only_ready,,e_waste
P01524_B,,,,,15.3,,10.1016/j.jhazmat.2009.08.134,P01524,B (Table 4),e_waste,浙江,0,1,,PCBs,soil,A_sample_table,op_only_ready,,e_waste
P01524_I,,,,,22.6,,10.1016/j.jhazmat.2009.08.134,P01524,I (Table 4),e_waste,浙江,0,1,,PCBs,soil,A_sample_table,op_only_ready,,e_waste
P01524_J,,,,,238.4,,10.1016/j.jhazmat.2009.08.134,P01524,j (Table 4),e_waste,浙江,0,1,,PCBs,soil,A_sample_table,op_only_ready,,e_waste
P01524_K,,,,,2061.0,,10.1016/j.jhazmat.2009.08.134,P01524,K (Table 4),e_waste,浙江,0,1,,PCBs,soil,A_sample_table,op_only_ready,,e_waste
P01706_tr1_Outdoor,,,,,,0.146,10.1016/j.scitotenv.2017.08.101,P01706,Outdoor (## Table 2 | Correlations of P),other,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,other
P01706_tr2_Indoor,,,,,,0.017,10.1016/j.scitotenv.2017.08.101,P01706,Indoor (## Table 2 | Correlations of P),other,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,other
P01706_tr3_Outdoor,,,,,,0.38,10.1016/j.scitotenv.2017.08.101,P01706,Outdoor (## Table 2 | Correlations of P),other,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,other
P01706_tr4_Indoor,,,,,,0.229,10.1016/j.scitotenv.2017.08.101,P01706,Indoor (## Table 2 | Correlations of P),other,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,other
P02143_CV,73.08,,,,,1084.92,10.1038/s41598-020-XXXXX,P02143,Cv (%) (AHs accounted for about 0.50% ),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02143_tr2_Aromaticring,5.0,,,,,39.0,10.1038/s41598-020-XXXXX,P02143,Aromatic ring (AHs accounted for about 0,other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02143_tr5_Mean,330.5,,,,,4448.99,10.1038/s41598-020-XXXXX,P02143,Mean (AHs accounted for about 0.50% ),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02143_tr6_Median,244.7,,,,,2849.16,10.1038/s41598-020-XXXXX,P02143,Median (AHs accounted for about 0.50% ),other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02143_tr9_Composition,4.88,,,,,65.64,10.1038/s41598-020-XXXXX,P02143,Composition (%) (AHs accounted for about,other,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02376_03,,,,27.9,,,10.1080/02757540.2013.844798,P02376,<0.3 (Table 1. Concentrations of PBD),e_waste,浙江,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P02376_04,,,,64.4,,,10.1080/02757540.2013.844798,P02376,0.4 (Table 1. Concentrations of PBD),e_waste,浙江,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P02376_08,,,,131.1,,,10.1080/02757540.2013.844798,P02376,0.8 (Table 1. Concentrations of PBD),e_waste,浙江,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P02376_30,,,,1195.1,,,10.1080/02757540.2013.844798,P02376,3.0 (Table 1. Concentrations of PBD),e_waste,浙江,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P02376_411,,,,3128.4,,,10.1080/02757540.2013.844798,P02376,41.1 (Table 1. Concentrations of PBD),e_waste,浙江,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P02376_71,,,,1889.1,,,10.1080/02757540.2013.844798,P02376,7.1 (Table 1. Concentrations of PBD),e_waste,浙江,0,1,,PBDEs,soil,A_sample_table,op_only_ready,,e_waste
P02549_001,0.53,,,,,4.29,10.1080/15320383.2012.697937,P02549,"0.01 (refer to public square, reside)",other,辽宁,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02549_002,118.7,,,,,967.0,10.1080/15320383.2012.697937,P02549,"0.02 (refer to public square, reside)",other,辽宁,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02549_004,0.2,,,,,1.51,10.1080/15320383.2012.697937,P02549,"0.04 (refer to public square, reside)",other,辽宁,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02549_071,,,,,,400.0,10.1080/15320383.2012.697937,P02549,0.7-1,other,辽宁,0,1,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02549_12,,,,,,800.0,10.1080/15320383.2012.697937,P02549,1-2,other,辽宁,0,1,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02549_23,,,,,,1000.0,10.1080/15320383.2012.697937,P02549,2-3,other,辽宁,0,1,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02549_s2__0.7,,,,,,200.0,10.1080/15320383.2012.697937,P02549,≤0.7,other,辽宁,0,1,,PAHs,soil,A_sample_table,op_only_ready,,urban
P02763_05,,,,,,44.792,10.1089/ees.2020.0416,P02763,0.5 (Table 1. Effects Range-Low and),coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_1,,,,,,247520.0,10.1089/ees.2020.0416,P02763,1,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_10,,,,,,634850.0,10.1089/ees.2020.0416,P02763,10,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_11,,,,,,799410.0,10.1089/ees.2020.0416,P02763,11,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_12,,,,,,1053900.0,10.1089/ees.2020.0416,P02763,12,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_13,,,,,,492620.0,10.1089/ees.2020.0416,P02763,13,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_14,,,,,,139890.0,10.1089/ees.2020.0416,P02763,14,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_15,,,,,,132400.0,10.1089/ees.2020.0416,P02763,15,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_16,,,,,,51520.0,10.1089/ees.2020.0416,P02763,16,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_17,,,,,,357630.0,10.1089/ees.2020.0416,P02763,17,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_18,,,,,,175580.0,10.1089/ees.2020.0416,P02763,18,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_19,,,,,,114300.0,10.1089/ees.2020.0416,P02763,19,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_2,,,,,,4545880.0,10.1089/ees.2020.0416,P02763,2,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_20,,,,,,11690.0,10.1089/ees.2020.0416,P02763,20,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_3,,,,,,327590.0,10.1089/ees.2020.0416,P02763,3,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_4,,,,,,394860.0,10.1089/ees.2020.0416,P02763,4,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_5,,,,,,190220.0,10.1089/ees.2020.0416,P02763,5,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_6,,,,,,2062320.0,10.1089/ees.2020.0416,P02763,6,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_7,,,,,,96570.0,10.1089/ees.2020.0416,P02763,7,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_8,,,,,,47170.0,10.1089/ees.2020.0416,P02763,8,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_9,,,,,,1207000.0,10.1089/ees.2020.0416,P02763,9,coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02763_tr2_0016,,,,,,4.022,10.1089/ees.2020.0416,P02763,0.016 (Table 1. Effects Range-Low and),coking,,0,1,,PAHs,soil,A_sample_table,op_only_ready,,coking
P02892_B1,0.39,,,,,72.67999999999999,10.1155/2013/417435,P02892,"b1 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B10,0.19,,,,,63.1,10.1155/2013/417435,P02892,"b10 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B2,0.01,,,,,20.39,10.1155/2013/417435,P02892,"b2 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B3,0.3,,,,,24.25,10.1155/2013/417435,P02892,"b3 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B4,0.03,,,,,14.31,10.1155/2013/417435,P02892,"b4 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B5,0.01,,,,,5.65,10.1155/2013/417435,P02892,"b5 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B6,0.65,,,,,15.42,10.1155/2013/417435,P02892,"b6 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B7,0.03,,,,,7.819999999999999,10.1155/2013/417435,P02892,"b7 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B8,0.09,,,,,15.51,10.1155/2013/417435,P02892,"b8 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_B9,0.01,,,,,6.15,10.1155/2013/417435,P02892,"b9 (At six locations (b2, b5, b7, )",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02892_tr1_TECgkg,200.0,,,,,2012.18,10.1155/2013/417435,P02892,"TEC (μg/kg) (At six locations (b2, b5, b",other,天津,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_ERL,,,,,,4022.0,10.1155/2017-3510796,P02920,ERL (## Acknowledgments | This work),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_ERM,,,,,,44792.0,10.1155/2017-3510796,P02920,ERM (## Acknowledgments | This work),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_PEL,,,,,,11770.0,10.1155/2017-3510796,P02920,PEL (</tr><tr><td>Chr</td><td>384</),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_TEL,,,,,,23.0,10.1155/2017-3510796,P02920,<TEL (</tr><tr><td>Chr</td><td>384</),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_tr10_ERLERM,,,,,,8.0,10.1155/2017-3510796,P02920,ERL-ERM (## Acknowledgments | This work),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_tr10_TELPEL,,,,,,33.0,10.1155/2017-3510796,P02920,TEL-PEL (</tr><tr><td>Chr</td><td>384</),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_tr13_TELPEL,,,,,,14.0,10.1155/2017-3510796,P02920,TEL-PEL (</tr><tr><td>Chr</td><td>384</),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_tr4_ERLERM,,,,,,15.0,10.1155/2017-3510796,P02920,ERL-ERM (## Acknowledgments | This work),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_tr4_TELPEL,,,,,,77.0,10.1155/2017-3510796,P02920,TEL-PEL (</tr><tr><td>Chr</td><td>384</),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P02920_tr7_TELPEL,,,,,,15.0,10.1155/2017-3510796,P02920,TEL-PEL (</tr><tr><td>Chr</td><td>384</),other,江苏,0,1,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P03187_tr1_nggdw,0.1,,,,,1.2,10.1371/journal.pone.0205484,P03187,ng/gdw) ( (Table 1. Detection values of ,other,,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P03187_tr2_nggdw,9.5,,,,,118.3,10.1371/journal.pone.0205484,P03187,ng/gdw) ( (Table 1. Detection values of ,other,,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P03187_tr3_nggdw,1.6,,,,,26.8,10.1371/journal.pone.0205484,P03187,ng/gdw) (Table 1. Detection values of i),other,,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P03187_tr4_nggdw,1.9,,,,,100.3,10.1371/journal.pone.0205484,P03187,(ng/gdw) (Table 1. Detection values of i,other,,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P03187_tr5_,100.0,,,,,399.9,10.1371/journal.pone.0205484,P03187,%) (Table 1. Detection values of i),other,,0,2,,PAHs,sediment_not_soil,A_sample_table,op_only_ready,sediment_not_soil,other
P03780_003,,,,,,63.64,10.3389/fenvs.2022.990471,P03780,0.03 (TABLE 5 Toxic equivalent facto),mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_S1,,,,,,207.64,10.3389/fenvs.2022.990471,P03780,S1,mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_S2,,,,,,136.67,10.3389/fenvs.2022.990471,P03780,S2,mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_S3,,,,,,196.04,10.3389/fenvs.2022.990471,P03780,S3,mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_S4,,,,,,121.43,10.3389/fenvs.2022.990471,P03780,S4,mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_S5,,,,,,224.66,10.3389/fenvs.2022.990471,P03780,S5,mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_tr2_49970,,,,,,886.43,10.3389/fenvs.2022.990471,P03780,49.970 (TABLE 5 Toxic equivalent facto),mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03780_tr3_0050,,,,,,126.906,10.3389/fenvs.2022.990471,P03780,0.050 (TABLE 5 Toxic equivalent facto),mining,贵州,0,1,,PAHs,soil,A_sample_table,op_only_ready,,mining
P03781_tr2_rings,5.0,,,,,59.0,10.3389/fenvs.2023.1209137,P03781,rings (TABLE 1 PAHs in soi l of an in),industrial,,0,2,,PAHs,soil,A_sample_table,op_only_ready,,urban
