group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_slope_deg,0.000542,0.0005416503285147769,1,['x_missing_gee_slope_deg'],positive,0.002198,missing_signal
缺失指示_gee_clay_pct,0.000529,0.000515261516332732,1,['x_missing_gee_clay_pct'],positive,0.002147,missing_signal
缺失指示_gee_elevation_m,0.000499,0.000353491672412904,1,['x_missing_gee_elevation_m'],positive,0.002025,missing_signal
缺失指示_gee_silt_pct,0.000495,-0.0004518625909127466,1,['x_missing_gee_silt_pct'],negative,0.00201,missing_signal
缺失指示_gee_soc_g_kg,0.000473,0.000472931288688385,1,['x_missing_gee_soc_g_kg'],positive,0.001918,missing_signal
缺失指示_Hg_mgkg,0.000428,-0.00027956903486443037,1,['x_missing_Hg_mgkg'],negative,0.001735,missing_signal
缺失指示_PAEs_total,0.000402,8.621998734997073e-05,1,['x_missing_PAEs_total'],positive,0.00163,missing_signal
缺失指示_gee_soil_pH,0.000304,0.00015471627447750534,1,['x_missing_gee_soil_pH'],positive,0.001232,missing_signal
缺失指示_gee_aspect_deg,0.000303,-3.132123363680411e-05,1,['x_missing_gee_aspect_deg'],negative,0.001231,missing_signal
缺失指示_gee_temp_mean_c,0.000259,6.243953353868593e-05,1,['x_missing_gee_temp_mean_c'],positive,0.001051,missing_signal
缺失指示_gee_precip_annual_mm,0.000255,0.0001848755304418646,1,['x_missing_gee_precip_annual_mm'],positive,0.001035,missing_signal
缺失指示_水解性氮,0.000115,0.00011479493714797936,1,['x_missing_水解性氮'],positive,0.000466,missing_signal
缺失指示_TN_gkg,0.000108,0.00010822910590656879,1,['x_missing_TN_gkg'],positive,0.000439,missing_signal
缺失指示_pH,7.9e-05,4.234266668506483e-05,1,['x_missing_pH'],positive,0.000321,missing_signal
"缺失指示_茚并[1,2,3-cd]芘",2.3e-05,-2.3407895522135357e-05,1,"['x_missing_茚并[1,2,3-cd]芘']",negative,9.5e-05,missing_signal
缺失指示_钴,1.4e-05,1.3862592757538673e-05,1,['x_missing_钴'],positive,5.6e-05,missing_signal
缺失指示_速效钾,9e-06,-7.537585960682551e-06,1,['x_missing_速效钾'],negative,3.8e-05,missing_signal
缺失指示_SumDDTs_ngg,9e-06,-7.280133371371745e-06,1,['x_missing_SumDDTs_ngg'],negative,3.6e-05,missing_signal
缺失指示_苯并[a]蒽,7e-06,7.262214395545881e-06,1,['x_missing_苯并[a]蒽'],positive,2.9e-05,missing_signal
缺失指示_䓛,5e-06,5.211271096888045e-06,1,['x_missing_䓛'],positive,2.1e-05,missing_signal
缺失指示_SoilBD_gcm3,4e-06,-4.459756929040182e-06,1,['x_missing_SoilBD_gcm3'],negative,1.8e-05,missing_signal
缺失指示_SumHCHs_ngg,4e-06,1.693579650926334e-06,1,['x_missing_SumHCHs_ngg'],positive,1.5e-05,missing_signal
缺失指示_茚并[123-cd]芘,2e-06,2.2052493820175377e-06,1,['x_missing_茚并[123-cd]芘'],positive,9e-06,missing_signal
缺失指示_BaP_ngg,1e-06,7.181552285034573e-07,1,['x_missing_BaP_ngg'],positive,3e-06,missing_signal
缺失指示_苯并[b]荧蒽,0.0,4.20531666108467e-07,1,['x_missing_苯并[b]荧蒽'],positive,2e-06,missing_signal
缺失指示_萘,0.0,3.164292226214078e-07,1,['x_missing_萘'],positive,1e-06,missing_signal
缺失指示_PCBs_total,0.0,-3.525237918300108e-08,1,['x_missing_PCBs_total'],negative,1e-06,missing_signal
缺失指示_PAHs_total,0.0,1.948734708749739e-07,1,['x_missing_PAHs_total'],positive,1e-06,missing_signal
缺失指示_有效磷,0.0,-1.3579298923649654e-07,1,['x_missing_有效磷'],negative,1e-06,missing_signal
缺失指示_苯并[k]荧蒽,0.0,7.343499769868723e-08,1,['x_missing_苯并[k]荧蒽'],positive,0.0,missing_signal
缺失指示_锑,0.0,-6.983042711141551e-08,1,['x_missing_锑'],negative,0.0,missing_signal
缺失指示_二苯并[ah]蒽,0.0,4.041811090342474e-08,1,['x_missing_二苯并[ah]蒽'],positive,0.0,missing_signal
缺失指示_钒,0.0,-2.0585151864413574e-08,1,['x_missing_钒'],negative,0.0,missing_signal
"缺失指示_二苯并[a,h]蒽",0.0,2.4096824350669778e-08,1,"['x_missing_二苯并[a,h]蒽']",positive,0.0,missing_signal
缺失指示_CEC_cmolkg,0.0,-6.977471045041002e-09,1,['x_missing_CEC_cmolkg'],negative,0.0,missing_signal
缺失指示_PBDEs_total,0.0,0.0,1,['x_missing_PBDEs_total'],positive,0.0,missing_signal
缺失指示_PFAS_total,0.0,0.0,1,['x_missing_PFAS_total'],positive,0.0,missing_signal
缺失指示_TPH_ngg,0.0,0.0,1,['x_missing_TPH_ngg'],positive,0.0,missing_signal
缺失指示_ph,0.0,0.0,1,['x_missing_ph'],positive,0.0,missing_signal
缺失指示_铍,0.0,0.0,1,['x_missing_铍'],positive,0.0,missing_signal
