group,mean_abs_shap,mean_signed,n_features,members,direction,contribution_share,category
缺失指示_gee_precip_annual_mm,0.000304,0.00014467154834196629,1,['x_missing_gee_precip_annual_mm'],positive,0.000982,missing_signal
缺失指示_gee_temp_mean_c,0.000273,-0.0002662556296893544,1,['x_missing_gee_temp_mean_c'],negative,0.00088,missing_signal
缺失指示_pH,0.000246,-0.0002464854004172989,1,['x_missing_pH'],negative,0.000795,missing_signal
缺失指示_gee_clay_pct,0.000219,0.0002185226449332149,1,['x_missing_gee_clay_pct'],positive,0.000705,missing_signal
缺失指示_gee_soc_g_kg,0.000195,0.0001420959413914669,1,['x_missing_gee_soc_g_kg'],positive,0.000628,missing_signal
"缺失指示_二苯并[a,h]蒽",0.000183,0.00018284373492913548,1,"['x_missing_二苯并[a,h]蒽']",positive,0.00059,missing_signal
缺失指示_gee_soil_pH,0.000177,2.8250670641756052e-05,1,['x_missing_gee_soil_pH'],positive,0.000572,missing_signal
缺失指示_gee_aspect_deg,0.000133,-1.1256312542683429e-05,1,['x_missing_gee_aspect_deg'],negative,0.000428,missing_signal
缺失指示_gee_sand_pct,9.3e-05,8.014461696577453e-05,1,['x_missing_gee_sand_pct'],positive,0.0003,missing_signal
缺失指示_gee_silt_pct,9.1e-05,-2.014098675709099e-05,1,['x_missing_gee_silt_pct'],negative,0.000293,missing_signal
"缺失指示_茚并[1,2,3-cd]芘",5.3e-05,-5.3370502038264516e-05,1,"['x_missing_茚并[1,2,3-cd]芘']",negative,0.000172,missing_signal
缺失指示_速效钾,1.9e-05,-1.5006003842810254e-05,1,['x_missing_速效钾'],negative,6.3e-05,missing_signal
缺失指示_苯并[k]荧蒽,9e-06,9.438598250499893e-06,1,['x_missing_苯并[k]荧蒽'],positive,3e-05,missing_signal
缺失指示_钴,9e-06,9.237092053584353e-06,1,['x_missing_钴'],positive,3e-05,missing_signal
缺失指示_苯并[b]荧蒽,9e-06,8.704054529897533e-06,1,['x_missing_苯并[b]荧蒽'],positive,2.8e-05,missing_signal
缺失指示_二苯并[ah]蒽,8e-06,7.615953124716551e-06,1,['x_missing_二苯并[ah]蒽'],positive,2.5e-05,missing_signal
缺失指示_萘,7e-06,6.84705413515388e-06,1,['x_missing_萘'],positive,2.2e-05,missing_signal
缺失指示_SoilBD_gcm3,6e-06,-5.508197298940355e-06,1,['x_missing_SoilBD_gcm3'],negative,1.8e-05,missing_signal
缺失指示_苯并[a]蒽,4e-06,4.245416806891705e-06,1,['x_missing_苯并[a]蒽'],positive,1.4e-05,missing_signal
缺失指示_茚并[123-cd]芘,4e-06,-3.6805556305528365e-06,1,['x_missing_茚并[123-cd]芘'],negative,1.2e-05,missing_signal
缺失指示_SumDDTs_ngg,3e-06,2.6571597464078066e-06,1,['x_missing_SumDDTs_ngg'],positive,9e-06,missing_signal
缺失指示_SumHCHs_ngg,2e-06,2.2904192043219076e-06,1,['x_missing_SumHCHs_ngg'],positive,7e-06,missing_signal
缺失指示_䓛,1e-06,1.1595251436114944e-06,1,['x_missing_䓛'],positive,4e-06,missing_signal
缺失指示_PAHs_total,0.0,-8.971025826724462e-08,1,['x_missing_PAHs_total'],negative,0.0,missing_signal
缺失指示_PCBs_total,0.0,4.430632525186597e-08,1,['x_missing_PCBs_total'],positive,0.0,missing_signal
缺失指示_BaP_ngg,0.0,-2.7725533311241627e-08,1,['x_missing_BaP_ngg'],negative,0.0,missing_signal
缺失指示_钒,0.0,-2.7596881426957757e-08,1,['x_missing_钒'],negative,0.0,missing_signal
缺失指示_锑,0.0,5.013652060691013e-09,1,['x_missing_锑'],positive,0.0,missing_signal
缺失指示_有效磷,0.0,1.3283772274275278e-09,1,['x_missing_有效磷'],positive,0.0,missing_signal
缺失指示_TPH_ngg,0.0,0.0,1,['x_missing_TPH_ngg'],positive,0.0,missing_signal
缺失指示_PBDEs_total,0.0,0.0,1,['x_missing_PBDEs_total'],positive,0.0,missing_signal
缺失指示_PFAS_total,0.0,0.0,1,['x_missing_PFAS_total'],positive,0.0,missing_signal
缺失指示_ph,0.0,0.0,1,['x_missing_ph'],positive,0.0,missing_signal
缺失指示_铍,0.0,0.0,1,['x_missing_铍'],positive,0.0,missing_signal
