sample_idx,site_id,factor_name,factor_col,track,value,detected,B,R,threshold_type,upper_limit,lower_limit,standard_source
1004,1005,pH,SoilpH,production,5.94,True,1,0.2872,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1005,1006,pH,SoilpH,production,4.48,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1006,1007,pH,SoilpH,production,4.74,True,1,0.9026,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1007,1008,pH,SoilpH,production,4.86,True,1,0.841,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1008,1009,pH,SoilpH,production,5.33,True,1,0.6,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1009,1010,pH,SoilpH,production,5.49,True,1,0.5179,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1010,1011,pH,SoilpH,production,4.61,True,1,0.9692,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1011,1012,pH,SoilpH,production,5.2,True,1,0.6667,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1012,1013,pH,SoilpH,production,5.71,True,1,0.4051,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1013,1014,pH,SoilpH,production,5.69,True,1,0.4154,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1014,1015,pH,SoilpH,production,6.34,True,1,0.0821,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1015,1016,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1016,1017,pH,SoilpH,production,4.8,True,1,0.8718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1017,1018,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1018,1019,pH,SoilpH,production,4.68,True,1,0.9333,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1019,1020,pH,SoilpH,production,5.1,True,1,0.7179,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1020,1021,pH,SoilpH,production,5.61,True,1,0.4564,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1021,1022,pH,SoilpH,production,4.81,True,1,0.8667,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1022,1023,pH,SoilpH,production,5.16,True,1,0.6872,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1293,1294,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1294,1295,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1295,1296,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1296,1297,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1297,1298,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1298,1299,pH,SoilpH,production,4.25,True,1,1.0,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1301,1302,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1302,1303,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1303,1304,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1304,1305,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1305,1306,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1306,1307,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1307,1308,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1308,1309,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1309,1310,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1310,1311,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1311,1312,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1312,1313,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1313,1314,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1314,1315,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1315,1316,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1316,1317,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1317,1318,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1318,1319,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1319,1320,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1320,1321,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1321,1322,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1322,1323,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1323,1324,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1324,1325,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1325,1326,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1326,1327,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1327,1328,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1328,1329,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1329,1330,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1330,1331,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1331,1332,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1332,1333,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1333,1334,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1334,1335,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1335,1336,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1336,1337,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1337,1338,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1338,1339,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1339,1340,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1340,1341,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1341,1342,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1342,1343,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1343,1344,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1344,1345,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1345,1346,pH,SoilpH,production,8.2,True,1,0.0833,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1356,1357,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1357,1358,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1358,1359,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1359,1360,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1360,1361,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1361,1362,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1362,1363,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1363,1364,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1364,1365,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1365,1366,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1366,1367,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1367,1368,pH,SoilpH,production,6.2,True,1,0.1538,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1368,1369,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1369,1370,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1370,1371,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1371,1372,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1372,1373,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1373,1374,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1374,1375,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1375,1376,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1376,1377,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1377,1378,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1378,1379,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1379,1380,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1380,1381,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1381,1382,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1382,1383,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1383,1384,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1384,1385,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1385,1386,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1386,1387,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1387,1388,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1388,1389,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1389,1390,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1390,1391,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1391,1392,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1392,1393,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1393,1394,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1394,1395,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1395,1396,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1396,1397,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1397,1398,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1398,1399,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1399,1400,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1400,1401,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1401,1402,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1402,1403,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1403,1404,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1404,1405,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1405,1406,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1406,1407,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1407,1408,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1408,1409,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1409,1410,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1410,1411,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1411,1412,pH,SoilpH,production,5.6,True,1,0.4615,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1412,1413,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1413,1414,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1414,1415,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1415,1416,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1416,1417,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1417,1418,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1418,1419,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1419,1420,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1420,1421,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1421,1422,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1422,1423,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1423,1424,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1424,1425,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1425,1426,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1426,1427,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1427,1428,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1428,1429,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1429,1430,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1430,1431,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1431,1432,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1432,1433,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1433,1434,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1434,1435,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1435,1436,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1436,1437,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1437,1438,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1438,1439,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1439,1440,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1440,1441,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1441,1442,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1442,1443,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1443,1444,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1444,1445,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1445,1446,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1446,1447,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1447,1448,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1448,1449,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1449,1450,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1450,1451,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1451,1452,pH,SoilpH,production,5.4,True,1,0.5641,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1452,1453,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1453,1454,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1454,1455,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1455,1456,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1456,1457,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1457,1458,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1458,1459,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1459,1460,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1460,1461,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1461,1462,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1462,1463,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1463,1464,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1464,1465,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1465,1466,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1466,1467,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1467,1468,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1468,1469,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1469,1470,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1470,1471,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1471,1472,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1472,1473,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1473,1474,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1474,1475,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1475,1476,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1476,1477,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1477,1478,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1478,1479,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1479,1480,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1480,1481,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
1481,1482,pH,SoilpH,production,6.36,True,1,0.0718,interval,8.0,6.5,土壤复垦质量控制标准TD/T1036-2013
