factor_id,factor_name_norm,track,function_layer,function_layer_weight,indicator_weight,fallback_weight,standard_priority,final_weight,weight_source,weight_version,sensitivity_flag,notes,final_weight_normalized
,111-三氯乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,111-三氯乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,12-二氯苯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,12-二氯苯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
68,钴,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
68,钴,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
70,钒,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
70,钒,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
44,Cr6_mgkg,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
44,Cr6_mgkg,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
42,Cr_mgkg,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
42,Cr_mgkg,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
66,铍,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
66,铍,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,11-二氯乙烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,11-二氯乙烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,11-二氯乙烯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,11-二氯乙烯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
64,锑,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
64,锑,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,14-二氯苯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,14-二氯苯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
92,二氯甲烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
92,二氯甲烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
120,乙苯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
120,乙苯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
106,三氯乙烯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
106,三氯乙烯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
196,七氯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
196,七氯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
152,一溴二氯甲烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
152,一溴二氯甲烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
156,二溴氯甲烷,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
156,二溴氯甲烷,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
160,六氯环戊二烯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
160,六氯环戊二烯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
170,五氯酚,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
170,五氯酚,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,二苯并[ah]蒽,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
,二苯并[ah]蒽,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
,33'445-五氯联苯(PCB126),production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
,33'445-五氯联苯(PCB126),ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
,24-二硝基酚,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,24-二硝基酚,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,24-二硝基甲苯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,24-二硝基甲苯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,24-二氯酚,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,24-二氯酚,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
134,2-氯酚,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
134,2-氯酚,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,246-三氯酚,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,246-三氯酚,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,33'44'55-六氯联苯(PCB169),production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
,33'44'55-六氯联苯(PCB169),ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
,33'-二氯联苯胺,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,33'-二氯联苯胺,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
52,Pb_mgkg,production,修复潜力,0.5664,0.0617,,0.5,0.0470063466711499,topic2_direct,v0.7,False,,0.017143359489906182
52,Pb_mgkg,ecology,修复潜力,0.3135,0.0578,,0.5,0.0444290250818053,topic2_direct,v0.7,False,,0.012805734330621144
36,As_mgkg,production,修复潜力,0.5664,0.1858,,0.5,0.0535263954270343,topic2_direct,v0.7,False,,0.01952124136393925
36,As_mgkg,ecology,修复潜力,0.3135,0.0786,,0.5,0.0460371056868456,topic2_direct,v0.7,False,,0.013269229826469955
40,Cd_mgkg,production,修复潜力,0.5664,0.1244,,0.5,0.0503005211835911,topic2_direct,v0.7,False,,0.018344755086214592
40,Cd_mgkg,ecology,修复潜力,0.3135,0.1383,,0.5,0.0506526062695815,topic2_direct,v0.7,False,,0.014599551033305253
72,甲基汞,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
72,甲基汞,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
56,Hg_mgkg,production,修复潜力,0.5664,0.2838,,0.5,0.0586751849361129,topic2_direct,v0.7,False,,0.021399020764867806
56,Hg_mgkg,ecology,修复潜力,0.3135,0.4202,,0.5,0.072446737161931,topic2_direct,v0.7,False,,0.020881252008294788
60,Ni_mgkg,production,修复潜力,0.5664,0.0272,,0.5,0.0451937626092804,topic2_direct,v0.7,False,,0.016482304496722153
60,Ni_mgkg,ecology,修复潜力,0.3135,0.0221,,0.5,0.0416690021202697,topic2_direct,v0.7,False,,0.012010215618995998
62,Zn_mgkg,production,修复潜力,0.5664,0.0146,,0.5,0.0445317753866846,topic2_direct,v0.7,False,,0.016240875716602772
62,Zn_mgkg,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
48,Cu_mgkg,production,修复潜力,0.5664,0.0195,,0.5,0.0447892148621385,topic2_direct,v0.7,False,,0.01633476468664919
48,Cu_mgkg,ecology,修复潜力,0.3135,0.0378,,0.5,0.0428827937308049,topic2_direct,v0.7,False,,0.01236006558461264
28,有效铜,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
28,有效铜,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
29,有效锌,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
29,有效锌,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
204,六氯苯,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
204,六氯苯,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
21,OC_pct,production,肥力限制,0.15,,0.15,0.3,0.015,domain_fallback,v0.7,True,"课题二无此因子权重, 用肥力限制功能层fallback",0.005470546225333835
21,OC_pct,ecology,生物活性限制,0.1,,0.1,0.3,0.01,domain_fallback,v0.7,True,"课题二无此因子权重, 用生物活性限制功能层fallback",0.0028822901936386143
31,有效镁,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
31,有效镁,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
30,有效锰,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
30,有效锰,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
27,有效铁,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
27,有效铁,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
26,有效钼,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
26,有效钼,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
25,有效钙,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
25,有效钙,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
,有效耕作层厚度,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
,有效耕作层厚度,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
24,有效磷,production,土壤质量,0.2524,0.031,,0.5,0.0247719821788836,topic2_direct,v0.7,False,,0.009034418240181913
24,有效磷,ecology,土壤质量,0.4967,0.0363,,0.5,0.0604711753484335,topic2_direct,v0.7,False,,0.017429547570459097
,TN_gkg,production,土壤质量,0.2524,0.0492,,0.5,0.0257281859448554,topic2_direct,v0.7,False,,0.009383148700354381
,TN_gkg,ecology,生物活性限制,0.1,,0.1,0.3,0.01,domain_fallback,v0.7,True,"课题二无此因子权重, 用生物活性限制功能层fallback",0.0028822901936386143
74,氰化物,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
74,氰化物,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
190,敌敌畏,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
190,敌敌畏,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
214,二噁英类(总毒性当量),production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
214,二噁英类(总毒性当量),ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
192,乐果,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
192,乐果,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
181,SumHCHs_ngg,production,污染安全限制,0.3,,0.3,0.3,0.03,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染安全限制功能层fallback",0.01094109245066767
181,SumHCHs_ngg,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
23,有效硫,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
23,有效硫,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
188,SumDDTs_ngg,production,修复潜力,0.5664,0.0588,,0.5,0.046853984532616,topic2_direct,v0.7,False,,0.017087792548450154
188,SumDDTs_ngg,ecology,污染生态毒性限制,0.25,,0.25,0.3,0.025,domain_fallback,v0.7,True,"课题二无此因子权重, 用污染生态毒性限制功能层fallback",0.007205725484096536
180,阿特拉津,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
180,阿特拉津,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
194,硫丹,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
194,硫丹,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
206,灭蚁灵,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
206,灭蚁灵,ecology,植被恢复限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用植被恢复限制功能层fallback",0.005764580387277229
"注：
区域定义（含核心管控导向）：
普通绿化区：以基础生态覆盖为核心的绿地，包括道路绿化带、工厂附属绿地、社区外围绿地等，管控重点为土壤基础理化指标（如 pH、有效土层、入渗率），满足植物存活基本需求（依据 CJ/T 340-2016 “普通绿化区” 阈值）；
耐盐碱种植区：受盐碱化影响的特殊绿地，包括滨海绿地、厂区次生盐碱绿地、盐碱地修复绿地等，管控重点为含盐量、交换性钠、钠吸附比等盐害指标（依据 CJ/T 340-2016 耐盐碱相关要求）；
高景观绿化区：兼具景观展示与生态功能的绿地，包括植物园、城市核心花坛、生物滞留池、公园主景观区等，管控重点为肥力指标（如阳离子交换量、有机质、水解性氮等）与景观适配性（如石砾粒径），需满足 CJ/T 340-2016 “高景观绿化区” 必测 / 选测要求；
设施绿化区：非常规场地绿化，包括屋顶绿化、地下顶面绿化、垂直绿化（构筑物壁面）等，管控重点为有效土层厚度（按植物类型区分：乔木≥80cm、灌木≥45cm、草坪≥15cm）、土壤密度（防荷载超限），依据 CJJ 82-2012 设施绿化相关要求；
自然保育区：以生态保护为首要目标的绿地，包括水源涵养林、自然保护区绿地、生态修复核心区等，管控重点为重金属低限值（CJ/T 340-2016 I 级）与原生土壤结构保护，避免人为干预破坏生态平衡；
一类用地绿地：人群高频接触的敏感绿地，包括住宅区内绿地、学校操场绿地、儿童公园、养老院附属绿地等，管控重点为污染物安全阈值（GB 36600-2018 “一类用地筛选值”），防范重金属、挥发性有机物通过接触 / 扬尘影响人体健康；
二类用地绿地：人群低接触或功能性绿地，包括商业街区绿地、工业厂区绿地、仓储区周边绿地等，管控重点为基础生态功能（如滞尘、降噪），污染物指标可按 GB 36600-2018 “二类用地筛选值” 放宽，优先保障植物存活；
污染管控区：潜在 / 历史污染绿地，包括废弃矿地、工业遗留场地修复绿地、污染土壤改良绿地等，管控重点为毒害重金属（砷、镉、铬、铅、汞）与特征污染物（如挥发性卤代烃），需符合 CJ/T 340-2016 IV 级或 GB 36600-2018 对应污染修复限值。
公园绿地指标选取规则：
应用场景中未单独列明的公园绿地，需按功能分区选取阈值：公园内花坛、专类园、生物滞留池等 “高景观功能区”，按 “高景观绿化区” 阈值执行；公园内普通游步道两侧、非景观核心区等 “基础绿化区”，按 “一般绿地” 阈值执行；儿童活动区、老人休憩区等 “人群高频接触区”，需额外符合 “一类用地绿地” 污染物限值。
一般绿地指标取舍规则：
应用场景中明确不含 “一般绿地”（核心场景为基础生态绿化，如道路基础绿化带、社区非景观绿地）的障碍因子时，仅针对非绿化主导功能区域（如绿地内纯硬化配套区、临时堆土区）可不予考虑；若场景涉及植物种植（即使非核心景观），仍需优先保障一般绿地的主控指标（pH、有效土层、入渗率、有机质）达标，避免因指标缺失导致植物生长异常。",发芽指数,production,生产适宜性限制,0.2,,0.2,0.3,0.02,domain_fallback,v0.7,True,"课题二无此因子权重, 用生产适宜性限制功能层fallback",0.0072940616337784465
