paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Standard,Cd_mgkg,0.13,Unknown,table_p5_ri3_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Coefficient,BghiP_ngg,2.18,Unknown,table_p5_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_Geometric,BghiP_ngg,0.51,Unknown,table_p5_ri29_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_50th,BghiP_ngg,0.25,Unknown,table_p5_ri29_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_75th,BghiP_ngg,1.94,Unknown,table_p5_ri29_ci9,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_90th,BghiP_ngg,3.73,Unknown,table_p5_ri29_ci10,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col2,Co_mgkg,3.85e-11,Unknown,table_p9_ri12_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col3,Co_mgkg,1.08e-10,Unknown,table_p9_ri12_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col5,Co_mgkg,1.27e-09,Unknown,table_p9_ri12_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col6,Co_mgkg,2.1e-09,Unknown,table_p9_ri12_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col3,Co_mgkg,1.43e-09,Unknown,table_p9_ri17_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col5,Co_mgkg,4.09e-09,Unknown,table_p9_ri17_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col6,Co_mgkg,1.65e-08,Unknown,table_p9_ri17_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col2,BaA_ngg,2.85e-09,Unknown,table_p9_ri21_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col3,BaA_ngg,5.26e-09,Unknown,table_p9_ri21_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col5,BaA_ngg,3.25e-08,Unknown,table_p9_ri21_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col2,Co_mgkg,1.33e-09,Unknown,table_p9_ri22_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col3,Co_mgkg,2.19e-09,Unknown,table_p9_ri22_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col5,Co_mgkg,1.52e-08,Unknown,table_p9_ri22_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col2,BaP_ngg,1.95e-08,Unknown,table_p9_ri36_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col6,BaP_ngg,3.23e-09,Unknown,table_p9_ri36_ci6,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col2,BghiP_ngg,1.75e-10,Unknown,table_p9_ri51_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col3,BghiP_ngg,3.82e-10,Unknown,table_p9_ri51_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col2,Sum_PAH_ngg,6.11e-08,Unknown,table_p9_ri56_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0048969723059648,1-s2.0-S0048969723059648_col3,Sum_PAH_ngg,9.63e-08,Unknown,table_p9_ri56_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
