factor_id,factor_name,track,land_use_target,standard_source,threshold_type,upper_limit,lower_limit,ideal_min,ideal_max,pH_condition,soil_texture_condition,region_condition,unit,threshold_version,evidence_level,notes
92,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,6.0,6.0,8.5,,,黄淮海平原区 6.0-8.5,,V1.0,B,nan
93,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,5.0,5.0,8.5,,,西南山地丘陵区 5.0-8.5,,V1.0,B,nan
94,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,5.0,5.0,8.5,,,长江中下游平原区 5.0-8.5,,V1.0,B,nan
95,pH,production,,土壤复垦质量控制标准TD/T1036-2013,interval,8.5,5.0,5.0,8.5,,,东南沿海山地丘陵区 5.0-8.5,,V1.0,B,nan
96,电导率,production,生产,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,东北山丘平原区 ≤2dS/m,dS/m,V1.0,B,水田用地
97,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,中部山地丘陵区 ≤2dS/m,dS/m,V1.0,B,nan
98,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,3.0,,,3.0,,,黄淮海平原区 ≤3dS/m,dS/m,V1.0,B,nan
99,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,长江中下游平原区 ≤2dS/m,dS/m,V1.0,B,nan
100,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,东南沿海山地丘陵区 ≤2dS/m,dS/m,V1.0,B,nan
101,电导率,production,生产,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,北方草原区 ≤2dS/m,dS/m,V1.0,B,其他用地
102,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,东北山丘平原区 ≤2dS/m,dS/m,V1.0,B,nan
103,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,3.0,,,3.0,,,西北干旱区 ≤3dS/m,dS/m,V1.0,B,nan
104,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,青藏高原区 ≤2dS/m,dS/m,V1.0,B,nan
105,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,中部山地丘陵区 ≤2dS/m,dS/m,V1.0,B,nan
106,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,3.0,,,3.0,,,黄淮海平原区 ≤3dS/m,dS/m,V1.0,B,nan
107,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,长江中下游平原区 ≤2dS/m,dS/m,V1.0,B,nan
108,电导率,production,,土壤复垦质量控制标准TD/T1036-2013,upper,2.0,,,2.0,,,东南沿海山地丘陵区 ≤2dS/m,dS/m,V1.0,B,nan
1,土壤容重,production,生产,土壤复垦质量控制标准TD/T1036-2013,upper,1.3,,,1.3,,,东北山丘平原区 ≤1.3g/cm³,g/cm³,V1.0,B,水田用地
2,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.35,,,1.35,,,中部山地丘陵区 ≤1.35g/cm³,g/cm³,V1.0,B,nan
3,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.35,,,1.35,,,黄淮海平原区 ≤1.35g/cm³,g/cm³,V1.0,B,nan
4,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.35,,,1.35,,,西南山地丘陵区 ≤1.35g/cm³,g/cm³,V1.0,B,nan
5,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.35,,,1.35,,,长江中下游平原区 ≤1.35g/cm³,g/cm³,V1.0,B,nan
6,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.4,,,1.4,,,东南沿海山地丘陵区 ≤1.4g/cm³,g/cm³,V1.0,B,nan
7,土壤容重,production,生产,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,北方草原区 ≤1.5g/cm³,g/cm³,V1.0,B,其他用地
8,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.45,,,1.45,,,东北山丘平原区 ≤1.45g/cm³,g/cm³,V1.0,B,nan
9,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.55,,,1.55,,,西北干旱区 ≤1.55g/cm³,g/cm³,V1.0,B,nan
10,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.55,,,1.55,,,青藏高原区 ≤1.55g/cm³,g/cm³,V1.0,B,nan
11,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,黄土高原区 ≤1.5g/cm³,g/cm³,V1.0,B,nan
12,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,中部山地丘陵区 ≤1.5g/cm³,g/cm³,V1.0,B,nan
13,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,黄淮海平原区 ≤1.5g/cm³,g/cm³,V1.0,B,nan
14,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,西南山地丘陵区 ≤1.5g/cm³,g/cm³,V1.0,B,nan
15,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,长江中下游平原区 ≤1.5g/cm³,g/cm³,V1.0,B,nan
16,土壤容重,production,,土壤复垦质量控制标准TD/T1036-2013,upper,1.5,,,1.5,,,东南沿海山地丘陵区 ≤1.5g/cm³,g/cm³,V1.0,B,nan
17,土壤质地,production,生产,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,东北山丘平原区 砂质壤土至砂质粘土,,V1.0,B,水田用地
18,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,中部山地丘陵区 砂质壤土至砂质粘土,,V1.0,B,nan
19,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,黄淮海平原区 壤土至壤质粘土,,V1.0,B,nan
20,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,西南山地丘陵区 砂质壤土至壤质粘土,,V1.0,B,nan
21,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,长江中下游平原区 砂质壤土至壤质粘土,,V1.0,B,nan
22,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,东南沿海山地丘陵区 砂质壤土至壤质粘土,,V1.0,B,nan
23,土壤质地,production,生产,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,北方草原区 砂土至砂质粘土,,V1.0,B,其他用地
24,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,东北山丘平原区 砂土至砂质粘土,,V1.0,B,nan
25,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,西北干旱区 砂土至砂质粘土,,V1.0,B,nan
26,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,青藏高原区 砂土至砂质粘土,,V1.0,B,nan
27,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,黄土高原区 砂土至砂质粘土,,V1.0,B,nan
28,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,中部山地丘陵区 砂土至粉粘土,,V1.0,B,nan
29,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,黄淮海平原区 砂土至砂质粘土,,V1.0,B,nan
30,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,西南山地丘陵区 砂土至壤质粘土,,V1.0,B,nan
31,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,长江中下游平原区 砂土至砂质粘土,,V1.0,B,nan
32,土壤质地,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,,,,,,,东南沿海山地丘陵区 砂土至壤质砂土,,V1.0,B,nan
33,坡度,production,生产,土壤复垦质量控制标准TD/T1036-2013,ordinal,6.0,,,6.0,,,东北山丘平原区 ≤6°,,V1.0,B,水田用地
34,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,15.0,,,15.0,,,黄淮海平原区 ≤15°,,V1.0,B,nan
35,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,15.0,,,15.0,,,西南山地丘陵区 ≤15°,,V1.0,B,nan
36,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,6.0,,,6.0,,,长江中下游平原区 ≤6°,,V1.0,B,nan
37,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,15.0,,,15.0,,,东南沿海山地丘陵区 ≤15°,,V1.0,B,nan
38,坡度,production,生产,土壤复垦质量控制标准TD/T1036-2013,ordinal,25.0,,,25.0,,,北方草原区 ≤25°,,V1.0,B,其他用地
39,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,15.0,,,15.0,,,东北山丘平原区 ≤15°,,V1.0,B,nan
40,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,20.0,,,20.0,,,西北干旱区 ≤20°,,V1.0,B,nan
41,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,25.0,,,25.0,,,青藏高原区 ≤25°,,V1.0,B,nan
42,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,25.0,,,25.0,,,黄土高原区 ≤25°,,V1.0,B,nan
43,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,25.0,,,25.0,,,中部山地丘陵区 ≤25°,,V1.0,B,nan
44,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,20.0,,,20.0,,,黄淮海平原区 ≤20°,,V1.0,B,nan
45,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,25.0,,,25.0,,,西南山地丘陵区 ≤25°,,V1.0,B,nan
46,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,20.0,,,20.0,,,长江中下游平原区 ≤20°,,V1.0,B,nan
47,坡度,production,,土壤复垦质量控制标准TD/T1036-2013,ordinal,25.0,,,25.0,,,东南沿海山地丘陵区 ≤25°,,V1.0,B,nan
48,有效土层,production,生产,土壤复垦质量控制标准TD/T1036-2013,lower,,100.0,100.0,,,,东北山丘平原区 ≥100cm,cm,V1.0,B,水田用地
49,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,60.0,60.0,,,,中部山地丘陵区 ≥60cm,cm,V1.0,B,nan
50,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,80.0,80.0,,,,黄淮海平原区 ≥80cm,cm,V1.0,B,nan
51,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,50.0,50.0,,,,西南山地丘陵区 ≥50cm,cm,V1.0,B,nan
52,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,60.0,60.0,,,,长江中下游平原区 ≥60cm,cm,V1.0,B,nan
53,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,40.0,40.0,,,,东南沿海山地丘陵区 ≥40cm,cm,V1.0,B,nan
54,有效土层,production,生产,土壤复垦质量控制标准TD/T1036-2013,lower,,30.0,30.0,,,,北方草原区 ≥30cm,cm,V1.0,B,其他用地
55,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,30.0,30.0,,,,东北山丘平原区 ≥30cm,cm,V1.0,B,nan
56,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,10.0,10.0,,,,西北干旱区 ≥10cm,cm,V1.0,B,nan
57,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,10.0,10.0,,,,青藏高原区 ≥10cm,cm,V1.0,B,nan
58,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,30.0,30.0,,,,黄土高原区 ≥30cm,cm,V1.0,B,nan
59,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,30.0,30.0,,,,中部山地丘陵区 ≥30cm,cm,V1.0,B,nan
60,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,30.0,30.0,,,,黄淮海平原区 ≥30cm,cm,V1.0,B,nan
61,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,10.0,10.0,,,,西南山地丘陵区 ≥10cm,cm,V1.0,B,nan
62,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,30.0,30.0,,,,长江中下游平原区 ≥30cm,cm,V1.0,B,nan
63,有效土层,production,,土壤复垦质量控制标准TD/T1036-2013,lower,,20.0,20.0,,,,东南沿海山地丘陵区 ≥20cm,cm,V1.0,B,nan
64,砾石含量,production,生产,土壤复垦质量控制标准TD/T1036-2013,upper,5.0,,,5.0,,,东北山丘平原区 ≤5%,%,V1.0,B,水田用地
65,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,10.0,,,10.0,,,中部山地丘陵区 ≤10%,%,V1.0,B,nan
66,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,5.0,,,5.0,,,黄淮海平原区 ≤5%,%,V1.0,B,nan
67,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,10.0,,,10.0,,,西南山地丘陵区 ≤10%,%,V1.0,B,nan
68,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,5.0,,,5.0,,,长江中下游平原区 ≤5%,%,V1.0,B,nan
69,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,20.0,,,20.0,,,东南沿海山地丘陵区 ≤20%,%,V1.0,B,nan
70,砾石含量,production,生产,土壤复垦质量控制标准TD/T1036-2013,upper,25.0,,,25.0,,,北方草原区 ≤25%,%,V1.0,B,其他用地
71,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,20.0,,,20.0,,,东北山丘平原区 ≤20%,%,V1.0,B,nan
72,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,50.0,,,50.0,,,西北干旱区 ≤50%,%,V1.0,B,nan
73,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,50.0,,,50.0,,,青藏高原区 ≤50%,%,V1.0,B,nan
74,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,25.0,,,25.0,,,黄土高原区 ≤25%,%,V1.0,B,nan
75,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,30.0,,,30.0,,,中部山地丘陵区 ≤30%,%,V1.0,B,nan
76,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,25.0,,,25.0,,,黄淮海平原区 ≤25%,%,V1.0,B,nan
77,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,50.0,,,50.0,,,西南山地丘陵区 ≤50%,%,V1.0,B,nan
78,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,20.0,,,20.0,,,长江中下游平原区 ≤20%,%,V1.0,B,nan
79,砾石含量,production,,土壤复垦质量控制标准TD/T1036-2013,upper,25.0,,,25.0,,,东南沿海山地丘陵区 ≤25%,%,V1.0,B,nan
181,六六六总量,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,0.1,,,0.1,,,全国通用，pH无区分，≤0.1mg/kg,mg/kg,V1.0,A,农用地通用
133,汞,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤0.5mg/kg,mg/kg,V1.0,A,水田用地
134,汞,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤0.5mg/kg,mg/kg,V1.0,A,nan
135,汞,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤0.6mg/kg,mg/kg,V1.0,A,nan
136,汞,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤1mg/kg,mg/kg,V1.0,A,nan
137,汞,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤1.3mg/kg,mg/kg,V1.0,A,其他用地
138,汞,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤1.8mg/kg,mg/kg,V1.0,A,nan
139,汞,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤2.4mg/kg,mg/kg,V1.0,A,nan
140,汞,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤3.4mg/kg,mg/kg,V1.0,A,nan
182,滴滴涕总量,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,0.1,,,0.1,,,全国通用，pH无区分，≤0.1mg/kg,mg/kg,V1.0,A,农用地通用
141,砷,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤30mg/kg,mg/kg,V1.0,A,水田用地
142,砷,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤30mg/kg,mg/kg,V1.0,A,nan
143,砷,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤25mg/kg,mg/kg,V1.0,A,nan
144,砷,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤20mg/kg,mg/kg,V1.0,A,nan
145,砷,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤40mg/kg,mg/kg,V1.0,A,其他用地
146,砷,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤40mg/kg,mg/kg,V1.0,A,nan
147,砷,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤30mg/kg,mg/kg,V1.0,A,nan
148,砷,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤25mg/kg,mg/kg,V1.0,A,nan
183,苯并 [a] 芘,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,0.55,,,0.55,,,全国通用，pH无区分，≤0.55mg/kg,mg/kg,V1.0,A,农用地通用
149,铅,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤80mg/kg,mg/kg,V1.0,A,水田用地
150,铅,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤100mg/kg,mg/kg,V1.0,A,nan
151,铅,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤140mg/kg,mg/kg,V1.0,A,nan
152,铅,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤240mg/kg,mg/kg,V1.0,A,nan
153,铅,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤70mg/kg,mg/kg,V1.0,A,其他用地
154,铅,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤90mg/kg,mg/kg,V1.0,A,nan
155,铅,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤120mg/kg,mg/kg,V1.0,A,nan
156,铅,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤170mg/kg,mg/kg,V1.0,A,nan
165,铜,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤150mg/kg,mg/kg,V1.0,A,果园用地
166,铜,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤150mg/kg,mg/kg,V1.0,A,nan
167,铜,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤200mg/kg,mg/kg,V1.0,A,nan
168,铜,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤200mg/kg,mg/kg,V1.0,A,nan
169,铜,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤50mg/kg,mg/kg,V1.0,A,其他用地
170,铜,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤50mg/kg,mg/kg,V1.0,A,nan
171,铜,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤100mg/kg,mg/kg,V1.0,A,nan
172,铜,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤100mg/kg,mg/kg,V1.0,A,nan
157,铬,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤250mg/kg,mg/kg,V1.0,A,水田用地
158,铬,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤250mg/kg,mg/kg,V1.0,A,nan
159,铬,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤300mg/kg,mg/kg,V1.0,A,nan
160,铬,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤350mg/kg,mg/kg,V1.0,A,nan
161,铬,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤150mg/kg,mg/kg,V1.0,A,其他用地
162,铬,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤150mg/kg,mg/kg,V1.0,A,nan
163,铬,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤200mg/kg,mg/kg,V1.0,A,nan
164,铬,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤250mg/kg,mg/kg,V1.0,A,nan
177,锌,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤200mg/kg,mg/kg,V1.0,A,农用地通用
178,锌,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤200mg/kg,mg/kg,V1.0,A,nan
179,锌,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤250mg/kg,mg/kg,V1.0,A,nan
180,锌,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤300mg/kg,mg/kg,V1.0,A,nan
125,镉,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤0.3mg/kg,mg/kg,V1.0,A,水田用地
126,镉,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤0.4mg/kg,mg/kg,V1.0,A,nan
127,镉,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤0.6mg/kg,mg/kg,V1.0,A,nan
128,镉,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤0.8mg/kg,mg/kg,V1.0,A,nan
129,镉,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤0.3mg/kg,mg/kg,V1.0,A,其他用地
130,镉,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤0.3mg/kg,mg/kg,V1.0,A,nan
131,镉,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,7.5,,,7.5,,,全国通用，6.5<pH≤7.5时，≤0.3mg/kg,mg/kg,V1.0,A,nan
132,镉,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,lower,,7.5,7.5,,,,全国通用，pH>7.5时，≤0.6mg/kg,mg/kg,V1.0,A,nan
173,镍,production,生产,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,5.5,,,5.5,,,全国通用，pH≤5.5时，≤60mg/kg,mg/kg,V1.0,A,农用地通用
174,镍,production,,土壤环境质量农用土壤污染风险管控标准GB15618-2018,upper,6.5,,,6.5,,,全国通用，5.5<pH≤6.5时，≤70mg/kg,mg/kg,V1.0,A,nan
