paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,OC_pct,8.7,Unknown,table_p4_ri2_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,2.25,Unknown,table_p4_ri30_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,SumPCB_ngg,0.02,Unknown,table_p4_ri30_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,5.82,Unknown,table_p4_ri30_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumPCB_ngg,0.03,Unknown,table_p4_ri30_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,0.97,Unknown,table_p4_ri31_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,1.26,Unknown,table_p4_ri31_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,0.15,Unknown,table_p4_ri31_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.01,Unknown,table_p4_ri31_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,0.75,Unknown,table_p4_ri31_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,SumPCB_ngg,0.003,Unknown,table_p4_ri31_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,0.78,Unknown,table_p4_ri31_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,0.32,Unknown,table_p4_ri32_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,0.95,Unknown,table_p4_ri32_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,0.22,Unknown,table_p4_ri32_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.03,Unknown,table_p4_ri32_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,0.68,Unknown,table_p4_ri32_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,SumPCB_ngg,0.01,Unknown,table_p4_ri32_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,2.29,Unknown,table_p4_ri32_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,0.37,Unknown,table_p4_ri33_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,5.64,Unknown,table_p4_ri33_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,0.17,Unknown,table_p4_ri33_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.02,Unknown,table_p4_ri33_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,0.46,Unknown,table_p4_ri33_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,24.2,Unknown,table_p4_ri33_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumPCB_ngg,0.01,Unknown,table_p4_ri33_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,0.27,Unknown,table_p4_ri34_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,5.56,Unknown,table_p4_ri34_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,0.14,Unknown,table_p4_ri34_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.02,Unknown,table_p4_ri34_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,0.59,Unknown,table_p4_ri34_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,22.4,Unknown,table_p4_ri34_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumPCB_ngg,0.01,Unknown,table_p4_ri34_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,1.33,Unknown,table_p4_ri35_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,3.37,Unknown,table_p4_ri35_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,0.08,Unknown,table_p4_ri35_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,0.18,Unknown,table_p4_ri35_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,19.8,Unknown,table_p4_ri35_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumPCB_ngg,0.01,Unknown,table_p4_ri35_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,6.36,Unknown,table_p4_ri36_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,20.0,Unknown,table_p4_ri36_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,1.0,Unknown,table_p4_ri36_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.2,Unknown,table_p4_ri36_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumPCB_ngg,4.9,Unknown,table_p4_ri36_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,SumPCB_ngg,0.03,Unknown,table_p4_ri36_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_3,SumPCB_ngg,75.0,Unknown,table_p4_ri36_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumPCB_ngg,0.06,Unknown,table_p4_ri36_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumHCH_ngg,0.001,Unknown,table_p4_ri39_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumHCH_ngg,0.0006,Unknown,table_p4_ri39_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumHCH_ngg,0.001,Unknown,table_p4_ri39_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_1,SumHCH_ngg,0.0006,Unknown,table_p4_ri39_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_2,SumHCH_ngg,0.0009,Unknown,table_p4_ri39_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumHCH_ngg,0.0007,Unknown,table_p4_ri39_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumHCH_ngg,0.001,Unknown,table_p4_ri41_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumHCH_ngg,0.0003,Unknown,table_p4_ri42_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL_4,SumHCH_ngg,0.0004,Unknown,table_p4_ri42_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_WAT1,OPEs_ngg,1.62,Unknown,table_p5_ri16_ci1,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_WAT2,OPEs_ngg,0.76,Unknown,table_p5_ri16_ci2,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_WAT3,OPEs_ngg,0.39,Unknown,table_p5_ri16_ci3,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_WAT_4,OPEs_ngg,0.36,Unknown,table_p5_ri16_ci4,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_WAT5,OPEs_ngg,0.5,Unknown,table_p5_ri16_ci5,soil,agricultural,,phase14_auto; confidence=medium; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_Mean_(n_=_6)_(μg/g_ww),SumPCB_ngg,0.37,Unknown,table_p7_ri9_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_RfD_(μg/kg_bw_per_day),SumPCB_ngg,0.01,Unknown,table_p7_ri9_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_EDI_adults_(μg/kg_bw_per_day),SumPCB_ngg,0.083,Unknown,table_p7_ri9_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_MOEs_adults,SumPCB_ngg,0.1,Unknown,table_p7_ri9_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_EDI_children_(μg/kg_bw_per_day),SumPCB_ngg,0.35,Unknown,table_p7_ri9_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_MOEs_children,SumPCB_ngg,0.03,Unknown,table_p7_ri9_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_EDI_adults_(μg/kg_bw_per_day),SumHCH_ngg,0.004,Unknown,table_p7_ri14_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_EDI_children_(μg/kg_bw_per_day),SumHCH_ngg,0.02,Unknown,table_p7_ri14_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_Mean_(n_=_6)_(μg/g_ww),SumDDT_ngg,0.004,Unknown,table_p7_ri16_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_ADI_(μg/kg_bw_per_day),SumDDT_ngg,10.0,Unknown,table_p7_ri16_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_EDI_adults_(μg/kg_bw_per_day),SumDDT_ngg,0.001,Unknown,table_p7_ri16_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_MOEs_adults,SumDDT_ngg,11250.0,Unknown,table_p7_ri16_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_EDI_children_(μg/kg_bw_per_day),SumDDT_ngg,0.004,Unknown,table_p7_ri16_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_MOEs_children,SumDDT_ngg,2616.0,Unknown,table_p7_ri16_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,23.0,Unknown,table_p8_ri23_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,59.0,Unknown,table_p8_ri23_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,1.4,Unknown,table_p8_ri23_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.0,Unknown,table_p8_ri23_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL1,SumPCB_ngg,3.1,Unknown,table_p8_ri23_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL2,SumPCB_ngg,0.0,Unknown,table_p8_ri23_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL3,SumPCB_ngg,345.0,Unknown,table_p8_ri23_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL4,SumPCB_ngg,0.1,Unknown,table_p8_ri23_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,13.0,Unknown,table_p8_ri25_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,14.0,Unknown,table_p8_ri25_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,1.4,Unknown,table_p8_ri25_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.4,Unknown,table_p8_ri25_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL1,SumPCB_ngg,9.4,Unknown,table_p8_ri25_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL2,SumPCB_ngg,0.1,Unknown,table_p8_ri25_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL3,SumPCB_ngg,24.0,Unknown,table_p8_ri25_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL4,SumPCB_ngg,0.1,Unknown,table_p8_ri25_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,7.0,Unknown,table_p8_ri27_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,9.1,Unknown,table_p8_ri27_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,1.1,Unknown,table_p8_ri27_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.1,Unknown,table_p8_ri27_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL1,SumPCB_ngg,5.4,Unknown,table_p8_ri27_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL2,SumPCB_ngg,0.0,Unknown,table_p8_ri27_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL3,SumPCB_ngg,5.6,Unknown,table_p8_ri27_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL4,SumPCB_ngg,0.0,Unknown,table_p8_ri27_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,4.3,Unknown,table_p8_ri29_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,66.0,Unknown,table_p8_ri29_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,1.4,Unknown,table_p8_ri29_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.3,Unknown,table_p8_ri29_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL1,SumPCB_ngg,5.4,Unknown,table_p8_ri29_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL2,SumPCB_ngg,0.0,Unknown,table_p8_ri29_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL3,SumPCB_ngg,280.0,Unknown,table_p8_ri29_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL4,SumPCB_ngg,0.1,Unknown,table_p8_ri29_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,3.9,Unknown,table_p8_ri30_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,11.0,Unknown,table_p8_ri30_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED2,SumPCB_ngg,2.7,Unknown,table_p8_ri30_ci3,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED3,SumPCB_ngg,0.3,Unknown,table_p8_ri30_ci4,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL1,SumPCB_ngg,8.2,Unknown,table_p8_ri30_ci5,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL2,SumPCB_ngg,0.1,Unknown,table_p8_ri30_ci6,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL3,SumPCB_ngg,28.0,Unknown,table_p8_ri30_ci7,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SOIL4,SumPCB_ngg,0.0,Unknown,table_p8_ri30_ci8,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_PLAS,SumPCB_ngg,1.9,Unknown,table_p8_ri32_ci1,soil,agricultural,,phase14_auto; confidence=high; flag=,,
1-s2.0-S0013935122020953,1-s2.0-S0013935122020953_SED1,SumPCB_ngg,38.0,Unknown,table_p8_ri32_ci2,soil,agricultural,,phase14_auto; confidence=high; flag=,,
