paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes,latitude,longitude
P01629,AL1,SumDDT_ngg,3.818,ng/g,Table S3 (SI O-horizon),soil,other,Yunnan,pg/g÷1000=ng/g; O-horizon(organic layer); Ailao Mountain,24.53,101.03
P01629,GD1,SumPBDE_ngg,0.2212,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Guandi Mountain,37.89,111.44
P01629,GD5,SumDDT_ngg,1.462,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Guandi Mountain,37.9,111.43
P01629,GD5,SumPBDE_ngg,0.2137,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Guandi Mountain,37.9,111.43
P01629,GD3,SumDDT_ngg,2.671,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Guandi Mountain,37.89,111.43
P01629,GD3,SumPBDE_ngg,0.6896,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Guandi Mountain,37.89,111.43
P01629,GG5,SumDDT_ngg,0.197,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Gongga Mountain,29.6,102.07
P01629,GG5,SumPBDE_ngg,0.0027,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Gongga Mountain,29.6,102.07
P01629,GG3,SumDDT_ngg,3.68,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Gongga Mountain,29.59,102.03
P01629,GG3,SumPBDE_ngg,0.7557,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Gongga Mountain,29.59,102.03
P01629,SHWL4,SumDDT_ngg,0.542,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanwula,44.27,118.41
P01629,SHWL4,SumPBDE_ngg,0.2639,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanwula,44.27,118.41
P01629,SHWL2,SumDDT_ngg,0.361,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanwula,44.2,118.72
P01629,SHWL2,SumPBDE_ngg,0.1226,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanwula,44.2,118.72
P01629,SHWL1,SumDDT_ngg,0.892,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanwula,44.19,118.71
P01629,SHWL1,SumPBDE_ngg,0.2299,ng/g,Table S3 (SI O-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanwula,44.19,118.71
P01629,JF1,SumDDT_ngg,1.579,ng/g,Table S3 (SI O-horizon),soil,other,Gansu,pg/g÷1000=ng/g; O-horizon(organic layer); Jifeng Mountain,33.69,105.68
P01629,JF1,SumPBDE_ngg,0.6863,ng/g,Table S3 (SI O-horizon),soil,other,Gansu,pg/g÷1000=ng/g; O-horizon(organic layer); Jifeng Mountain,33.69,105.68
P01629,JG2,SumDDT_ngg,2.717,ng/g,Table S3 (SI O-horizon),soil,other,Jiangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Jinggang Mountain,26.51,114.17
P01629,JG2,SumPBDE_ngg,0.231,ng/g,Table S3 (SI O-horizon),soil,other,Jiangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Jinggang Mountain,26.51,114.17
P01629,JG6,SumDDT_ngg,5.977,ng/g,Table S3 (SI O-horizon),soil,other,Jiangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Jinggang Mountain,26.58,114.14
P01629,JG6,SumPBDE_ngg,0.1146,ng/g,Table S3 (SI O-horizon),soil,other,Jiangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Jinggang Mountain,26.58,114.14
P01629,LG3,SumDDT_ngg,2.665,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Leigong Mountain,26.38,108.2
P01629,LG3,SumPBDE_ngg,0.2638,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Leigong Mountain,26.38,108.2
P01629,LG4,SumDDT_ngg,2.066,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Leigong Mountain,26.37,108.18
P01629,LG4,SumPBDE_ngg,0.2112,ng/g,Table S3 (SI O-horizon),soil,other,Guizhou,pg/g÷1000=ng/g; O-horizon(organic layer); Leigong Mountain,26.37,108.18
P01629,LJ3,SumDDT_ngg,4.185,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Luoji Mountain,27.58,102.39
P01629,LJ3,SumPBDE_ngg,0.3356,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Luoji Mountain,27.58,102.39
P01629,LJ6,SumDDT_ngg,8.868,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Luoji Mountain,27.57,102.37
P01629,LJ6,SumPBDE_ngg,0.0467,ng/g,Table S3 (SI O-horizon),soil,other,Sichuan,pg/g÷1000=ng/g; O-horizon(organic layer); Luoji Mountain,27.57,102.37
P01629,NL1,SumDDT_ngg,7.469,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Nanling,24.91,113.01
P01629,NL1,SumPBDE_ngg,0.9464,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Nanling,24.91,113.01
P01629,NL4,SumDDT_ngg,6.451,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Nanling,24.92,113.01
P01629,NL4,SumPBDE_ngg,0.5348,ng/g,Table S3 (SI O-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; O-horizon(organic layer); Nanling,24.92,113.01
P01629,SHB4,SumDDT_ngg,5.172,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanba,42.33,117.48
P01629,SHB4,SumPBDE_ngg,0.3474,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanba,42.33,117.48
P01629,SHB2,SumDDT_ngg,1.424,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanba,42.44,117.51
P01629,SHB2,SumPBDE_ngg,0.477,ng/g,Table S3 (SI O-horizon),soil,other,Hebei,pg/g÷1000=ng/g; O-horizon(organic layer); Saihanba,42.44,117.51
P01629,SNJ11,SumDDT_ngg,2.395,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Shennong Jia,31.76,110.49
P01629,SNJ11,SumPBDE_ngg,0.1081,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Shennong Jia,31.76,110.49
P01629,SNJ13,SumDDT_ngg,0.905,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Shennong Jia,31.46,110.28
P01629,SNJ13,SumPBDE_ngg,0.2257,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Shennong Jia,31.46,110.28
P01629,SNJ14,SumDDT_ngg,12.023,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Shennong Jia,31.44,110.3
P01629,SNJ14,SumPBDE_ngg,0.2587,ng/g,Table S3 (SI O-horizon),soil,other,Hubei,pg/g÷1000=ng/g; O-horizon(organic layer); Shennong Jia,31.44,110.3
P01629,SWD4,SumDDT_ngg,0.534,ng/g,Table S3 (SI O-horizon),soil,other,Guangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Shiwanda Mountain,21.9,107.91
P01629,SWD4,SumPBDE_ngg,0.1715,ng/g,Table S3 (SI O-horizon),soil,other,Guangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Shiwanda Mountain,21.9,107.91
P01629,SWD5,SumDDT_ngg,1.09,ng/g,Table S3 (SI O-horizon),soil,other,Guangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Shiwanda Mountain,21.9,107.9
P01629,SWD5,SumPBDE_ngg,0.1858,ng/g,Table S3 (SI O-horizon),soil,other,Guangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Shiwanda Mountain,21.9,107.9
P01629,SWD2,SumDDT_ngg,1.863,ng/g,Table S3 (SI O-horizon),soil,other,Guangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Shiwanda Mountain,21.88,107.92
P01629,SWD2,SumPBDE_ngg,0.2766,ng/g,Table S3 (SI O-horizon),soil,other,Guangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Shiwanda Mountain,21.88,107.92
P01629,SYK4,SumDDT_ngg,1.918,ng/g,Table S3 (SI O-horizon),soil,other,Ningxia,pg/g÷1000=ng/g; O-horizon(organic layer); Suyukou,38.75,105.92
P01629,SYK4,SumPBDE_ngg,0.0793,ng/g,Table S3 (SI O-horizon),soil,other,Ningxia,pg/g÷1000=ng/g; O-horizon(organic layer); Suyukou,38.75,105.92
P01629,TM1,SumDDT_ngg,2.647,ng/g,Table S3 (SI O-horizon),soil,other,Zhejiang,pg/g÷1000=ng/g; O-horizon(organic layer); Tianmu Mountain,30.58,119.71
P01629,TM1,SumPBDE_ngg,2.0959,ng/g,Table S3 (SI O-horizon),soil,other,Zhejiang,pg/g÷1000=ng/g; O-horizon(organic layer); Tianmu Mountain,30.58,119.71
P01629,WG2,SumDDT_ngg,2.077,ng/g,Table S3 (SI O-horizon),soil,other,Jiangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wugong Mountain,27.46,114.17
P01629,WG2,SumPBDE_ngg,0.5546,ng/g,Table S3 (SI O-horizon),soil,other,Jiangxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wugong Mountain,27.46,114.17
P01629,WYZ1,SumDDT_ngg,2.763,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wuyuezhai,38.72,113.84
P01629,WYZ1,SumPBDE_ngg,0.7407,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wuyuezhai,38.72,113.84
P01629,WYZ2,SumDDT_ngg,16.541,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wuyuezhai,38.72,113.84
P01629,WYZ2,SumPBDE_ngg,1.036,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wuyuezhai,38.72,113.84
P01629,WYZ3,SumDDT_ngg,17.298,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wuyuezhai,38.72,113.84
P01629,WYZ3,SumPBDE_ngg,2.0239,ng/g,Table S3 (SI O-horizon),soil,other,Shanxi,pg/g÷1000=ng/g; O-horizon(organic layer); Wuyuezhai,38.72,113.84
P01629,XX7,SumDDT_ngg,3.214,ng/g,Table S3 (SI O-horizon),soil,other,Heilongjiang,pg/g÷1000=ng/g; O-horizon(organic layer); Xiaoxing'anling,46.63,128.52
P01629,XX7,SumPBDE_ngg,1.0742,ng/g,Table S3 (SI O-horizon),soil,other,Heilongjiang,pg/g÷1000=ng/g; O-horizon(organic layer); Xiaoxing'anling,46.63,128.52
P01629,XX10,SumDDT_ngg,2.889,ng/g,Table S3 (SI O-horizon),soil,other,Heilongjiang,pg/g÷1000=ng/g; O-horizon(organic layer); Xiaoxing'anling,46.63,128.47
P01629,XX10,SumPBDE_ngg,0.8642,ng/g,Table S3 (SI O-horizon),soil,other,Heilongjiang,pg/g÷1000=ng/g; O-horizon(organic layer); Xiaoxing'anling,46.63,128.47
P01629,AL1,SumDDT_ngg,2.8127,ng/g,Table S4 (SI A-horizon),soil,other,Yunnan,pg/g÷1000=ng/g; A-horizon(mineral soil); Ailao Mountain,24.53,101.03
P01629,AL1,SumPBDE_ngg,0.0072,ng/g,Table S4 (SI A-horizon),soil,other,Yunnan,pg/g÷1000=ng/g; A-horizon(mineral soil); Ailao Mountain,24.53,101.03
P01629,AS1,SumDDT_ngg,0.258,ng/g,Table S4 (SI A-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; A-horizon(mineral soil); Aoshan Mountain,33.86,107.47
P01629,AS1,SumPBDE_ngg,0.0543,ng/g,Table S4 (SI A-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; A-horizon(mineral soil); Aoshan Mountain,33.86,107.47
P01629,AS5,SumDDT_ngg,1.4922,ng/g,Table S4 (SI A-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; A-horizon(mineral soil); Aoshan Mountain,33.88,107.41
P01629,AS5,SumPBDE_ngg,0.0663,ng/g,Table S4 (SI A-horizon),soil,other,Shaanxi,pg/g÷1000=ng/g; A-horizon(mineral soil); Aoshan Mountain,33.88,107.41
P01629,BCW5,SumDDT_ngg,2.294,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.83,117.6
P01629,BCW5,SumPBDE_ngg,0.1415,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.83,117.6
P01629,BCW3,SumDDT_ngg,10.3892,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.83,117.61
P01629,BCW3,SumPBDE_ngg,0.2263,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.83,117.61
P01629,BCW1,SumDDT_ngg,9.3382,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.82,117.61
P01629,BCW1,SumPBDE_ngg,0.1108,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.82,117.61
P01629,BCW2,SumDDT_ngg,12.0147,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.82,117.61
P01629,BCW2,SumPBDE_ngg,0.1393,ng/g,Table S4 (SI A-horizon),soil,other,Hebei,pg/g÷1000=ng/g; A-horizon(mineral soil); Baicaowa,40.82,117.61
P01629,CB7,SumDDT_ngg,0.6099,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.26,127.89
P01629,CB7,SumPBDE_ngg,0.2462,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.26,127.89
P01629,CB2,SumDDT_ngg,0.5543,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.14,128.13
P01629,CB3,SumDDT_ngg,6.278,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.08,128.07
P01629,CB3,SumPBDE_ngg,0.1061,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.08,128.07
P01629,CB4,SumDDT_ngg,1.2684,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.06,128.07
P01629,CB4,SumPBDE_ngg,0.0053,ng/g,Table S4 (SI A-horizon),soil,other,Jilin,pg/g÷1000=ng/g; A-horizon(mineral soil); Changbai Mountain,42.06,128.07
P01629,DBS3,SumDDT_ngg,1.3105,ng/g,Table S4 (SI A-horizon),soil,other,Hubei,pg/g÷1000=ng/g; A-horizon(mineral soil); Dabie Mountain,31.09,115.78
P01629,DBS3,SumPBDE_ngg,0.1725,ng/g,Table S4 (SI A-horizon),soil,other,Hubei,pg/g÷1000=ng/g; A-horizon(mineral soil); Dabie Mountain,31.09,115.78
P01629,DH1,SumDDT_ngg,0.0581,ng/g,Table S4 (SI A-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; A-horizon(mineral soil); Dinghu Mountain,23.17,112.54
P01629,DH1,SumPBDE_ngg,0.1614,ng/g,Table S4 (SI A-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; A-horizon(mineral soil); Dinghu Mountain,23.17,112.54
P01629,DH2,SumDDT_ngg,0.4909,ng/g,Table S4 (SI A-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; A-horizon(mineral soil); Dinghu Mountain,23.17,112.53
P01629,DH2,SumPBDE_ngg,0.7501,ng/g,Table S4 (SI A-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; A-horizon(mineral soil); Dinghu Mountain,23.17,112.53
P01629,DH3,SumDDT_ngg,0.6436,ng/g,Table S4 (SI A-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; A-horizon(mineral soil); Dinghu Mountain,23.18,112.52
P01629,DH3,SumPBDE_ngg,2.4945,ng/g,Table S4 (SI A-horizon),soil,other,Guangdong,pg/g÷1000=ng/g; A-horizon(mineral soil); Dinghu Mountain,23.18,112.52
P01629,DX2,SumDDT_ngg,1.2825,ng/g,Table S4 (SI A-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; A-horizon(mineral soil); Daxing'anling,49.54,123.51
P01629,DX2,SumPBDE_ngg,0.0785,ng/g,Table S4 (SI A-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; A-horizon(mineral soil); Daxing'anling,49.54,123.51
P01629,DX16,SumDDT_ngg,0.6188,ng/g,Table S4 (SI A-horizon),soil,other,InnerMongolia,pg/g÷1000=ng/g; A-horizon(mineral soil); Daxing'anling,52.95,122.96
