paper_id,sample_id,pollutant_std,value,unit,evidence_location,matrix,site_type,province,extract_notes
P00240,HB1,SumPBDE_ngg,1.4079,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB44,SumPBDE_ngg,3.2698,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB45,SumPBDE_ngg,0.7366,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB46,SumPBDE_ngg,0.9396,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB47,SumPBDE_ngg,8.1587,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB48,SumPBDE_ngg,8.7780,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB49,SumPBDE_ngg,14.1729,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB50,SumPBDE_ngg,24.5648,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB51,SumPBDE_ngg,18.1419,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB52,SumPBDE_ngg,1.7082,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB53,SumPBDE_ngg,6.8070,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB54,SumPBDE_ngg,8.2077,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB55,SumPBDE_ngg,10.2537,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX56,SumPBDE_ngg,113.0379,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX57,SumPBDE_ngg,4.2524,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SX58,SumPBDE_ngg,19.1646,ng/g,Table S2,soil,other,Shanxi,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB59,SumPBDE_ngg,0.4901,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,HB60,SumPBDE_ngg,228.6293,ng/g,Table S2,soil,other,Hebei,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD61,SumPBDE_ngg,8.7322,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD62,SumPBDE_ngg,7.7103,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD63,SumPBDE_ngg,235.0994,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD64,SumPBDE_ngg,0.2901,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD65,SumPBDE_ngg,55.9129,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD66,SumPBDE_ngg,0.7540,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD67,SumPBDE_ngg,2.4525,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD68,SumPBDE_ngg,208.4199,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD69,SumPBDE_ngg,0.4170,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD70,SumPBDE_ngg,2540.5751,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD71,SumPBDE_ngg,3.1240,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD72,SumPBDE_ngg,1.0913,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD73,SumPBDE_ngg,32.5522,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD74,SumPBDE_ngg,9.8632,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD75,SumPBDE_ngg,7.7247,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD76,SumPBDE_ngg,1.6689,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD77,SumPBDE_ngg,17.1588,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD78,SumPBDE_ngg,8264.8688,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD79,SumPBDE_ngg,114.0978,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD80,SumPBDE_ngg,2965.3014,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD81,SumPBDE_ngg,0.7750,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD82,SumPBDE_ngg,7.3164,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD83,SumPBDE_ngg,1.0162,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD84,SumPBDE_ngg,9.1261,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD85,SumPBDE_ngg,1.7693,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD86,SumPBDE_ngg,1546.0014,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
P00240,SD87,SumPBDE_ngg,230.2632,ng/g,Table S2,soil,other,Shandong,11 PBDE congeners summed (BDE28+47+49+66+99+100+119+183+196+203+209) from Table S2; ND=0.0000
