d_code,序号,指标名称,准则层,目标层,生产权重,生态权重,实测因子别名,归一化方法,参照数据来源,参照证据等级,demo可用性,备注
D14_有效土层厚度,14,有效土层厚度,限制因子C1,安全性B1,0.0269,0.026597,"有效土层, 土层厚度",外部参照总体归一化,TD/T1036-2013,A,中等,部分场地有土层厚度数据
D15_土壤表面粗糙度,15,土壤表面粗糙度,限制因子C1,安全性B1,0.0858,0.084833,表面粗糙度,外部参照总体归一化,文献(农业工程手册),C,极低,demo通常无粗糙度数据
C1小计,1-15,限制因子C1 合计,,,Σ=0.3853(归一化后),Σ=0.3838,,,,,,,,
D16_重金属污染物,16,重金属污染物,风险因子C2,安全性B1,0.7984,0.834100,"砷, 铅, 镉, 铬, 汞, 铜, 锌, 镍(动态提取场地实测因子)",法规阈值超标比例归一化,"GB15618-2018, GB36600-2018",A,极高,所有场地均有重金属数据
D17_有机污染物,17,有机污染物,风险因子C2,安全性B1,0.2016,0.165900,"苯并[a]芘, 六六六, 滴滴涕, 石油烃(动态提取场地实测因子)",法规阈值超标比例归一化,"GB15618-2018, GB36600-2018",A,中等,部分场地有有机物数据
C2小计,16-17,风险因子C2 合计,,,Σ=0.3445(归一化后),Σ=0.1410,,,,,,,,
D18_劳动力成本,18,劳动力成本(种植/除草/浇水/追肥),经济成本C3,经济性B2,0.3339,0.349927,D18,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,需手动录入或使用区域代理数据
D19_机械化成本,19,机械化成本(翻耕/播种/秸秆处理/耙地/喷灌),经济成本C3,经济性B2,0.2556,0.249488,D19,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,同上
D20_土地成本,20,土地成本(面积),经济成本C3,经济性B2,0.1781,0.173841,D20,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,同上
D21_非机械化成本,21,非机械化物质投入(种子/化肥/农药/农膜),经济成本C3,经济性B2,0.2323,0.226745,D21,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,同上
D22_单位面积总产值,22,单位面积总产值(元/公顷·年),经济效益C4,经济性B2,0.316886,0.301217,D22,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,同上
D23_效益费用比,23,效益费用比(产值÷总成本),经济效益C4,经济性B2,0.222570,0.262968,D23,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,同上
D24_人均可支配收入,24,农村居民人均可支配收入(元/人·年),经济效益C4,经济性B2,0.209226,0.247202,D24,参照区间归一化,国家统计局金砖国家联合统计手册2023(2015-2020),A,无,同上
D25_单位面积实物产量,25,单位面积实物产量(稻谷kg/公顷·年),经济效益C4,经济性B2,0.251318,0.188613,D25,参照区间归一化,全国农产品成本收益资料汇编2021(2015-2020),A,无,同上
C3C4小计,18-25,经济指标 合计,,,Σ=0.4543(归一化后),Σ=0.4751,,,,,,,,
总计,1-25,SSUI 25项元指标 合计,,,B1=0.5+B2=0.5,B1=0.5+B2=0.5,,,,,,,,
