indicator_code,indicator_name,scope,crop,region,year,unit,value,direction,source_name,source_url,source_document,table_or_page,is_proxy,version,effective_date,derivation
D21,非机械化物质投入,production,rice,CN,2022,元/亩·年,373.94,negative,全国农产品成本收益资料汇编2023,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2023,表1-2-2,true,v1.2,2026-07-21,物质服务费644.72-机械作业费270.78; 物质服务费来自农小蜂报告
D21,非机械化物质投入,production,rice,CN,2023,元/亩·年,386.17,negative,全国农产品成本收益资料汇编2024(推算),https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2024,表1-2-2(推算),true,v1.2,2026-07-21,种子+化肥+农家肥+农药+农膜费; 基于2022年非机械占比×2023推算物质服务费
D22,单位面积总产值,production,rice,CN,2021,元/公顷·年,19481.25,positive,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-1,true,v1.2,2026-07-21,每亩产值合计×15; 基于2020-2022趋势插值
D22,单位面积总产值,production,rice,CN,2022,元/公顷·年,20088.60,positive,农小蜂2024年中国稻谷成本收益分析报告,https://www.abeedata.com/home/article/detail/id/22845,全国农产品成本收益资料汇编2023(引用于农小蜂报告),表1-2-1,true,v1.2,2026-07-21,1339.24元/亩×15; 源数据来自全国农产品成本收益资料汇编2023
D22,单位面积总产值,production,rice,CN,2023,元/公顷·年,19687.23,positive,全国农产品成本收益资料汇编2024(推算),https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2024,表1-2-1(推算),true,v1.2,2026-07-21,稻谷每亩产值×15; 基于2020-2022波动趋势推算(年均-2%)
D23,效益费用比,production,rice,CN,2021,无量纲,1.058326,positive,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-1,true,v1.2,2026-07-21,每亩产值合计÷每亩总成本; 基于2020-2022趋势插值
D23,效益费用比,production,rice,CN,2022,无量纲,0.983343,positive,农小蜂2024年中国稻谷成本收益分析报告,https://www.abeedata.com/home/article/detail/id/22845,全国农产品成本收益资料汇编2023(引用于农小蜂报告),表1-2-1,true,v1.2,2026-07-21,1339.24÷1361.91; 源数据来自全国农产品成本收益资料汇编2023; 该年稻谷净利润为负
D23,效益费用比,production,rice,CN,2023,无量纲,0.993476,positive,全国农产品成本收益资料汇编2024(推算),https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2024,表1-2-1(推算),true,v1.2,2026-07-21,产值÷总成本; 假设2023年微幅回升(基于2022亏损后政策调整预期)
D24,农村居民人均可支配收入,production,rice,CN,2021,元/人·年,18931,positive,国家统计局,https://www.stats.gov.cn/sj/ndsj/2024/indexch.htm,中国统计年鉴2024,表6-11 农村居民人均收支情况,true,v1.2,2026-07-21,全国农村居民人均可支配收入(名义值); 来源:国家统计局年度公报
D24,农村居民人均可支配收入,production,rice,CN,2022,元/人·年,20133,positive,国家统计局,https://www.stats.gov.cn/sj/ndsj/2024/indexch.htm,中国统计年鉴2024,表6-11,true,v1.2,2026-07-21,全国农村居民人均可支配收入(名义值); 来源:国家统计局年度公报
D24,农村居民人均可支配收入,production,rice,CN,2023,元/人·年,21691,positive,国家统计局,https://www.stats.gov.cn/sj/ndsj/2024/indexch.htm,中国统计年鉴2024,表6-11,true,v1.2,2026-07-21,全国农村居民人均可支配收入(名义值); 来源:国家统计局年度公报
D25,单位面积实物产量,production,rice,CN,2021,kg/公顷·年,7112.46,positive,全国农产品成本收益资料汇编2022,https://www.zgtjcbs.com/,全国农产品成本收益资料汇编2022,表1-2-1,true,v1.2,2026-07-21,每亩主产品产量×15; 基于国家统计局稻谷单产数据
D25,单位面积实物产量,production,rice,CN,2022,kg/公顷·年,7079.44,positive,国家统计局,https://data.stats.gov.cn/,国家统计局年度数据,农作物单位面积产量-稻谷,true,v1.2,2026-07-21,全国稻谷单产; 来源:国家统计局(2022年稻谷单产7079.44kg/公顷)
D25,单位面积实物产量,production,rice,CN,2023,kg/公顷·年,7134.21,positive,国家统计局,https://data.stats.gov.cn/,国家统计局年度数据,农作物单位面积产量-稻谷,true,v1.2,2026-07-21,全国稻谷单产; 来源:国家统计局(2023年稻谷单产7134.21kg/公顷)
