d_code,factor_code,min,max,unit,direction,source_standard,source_document,derivation,evidence_level
D12_土壤酶活性,过氧化氢酶,0.5,3.0,mL/g,positive,关松荫1986,土壤酶及其研究法,"min=0.5(极低活性), max=3.0(高活性), 中国农田土壤酶活性参考基线",C
D12_土壤酶活性,脲酶,0.2,2.0,mg/g,positive,关松荫1986,土壤酶及其研究法,"min=0.2(极低活性), max=2.0(高活性), 中国农田土壤酶活性参考基线",C
D12_土壤酶活性,磷酸酶,0.1,1.5,mg/g,positive,关松荫1986,土壤酶及其研究法,"min=0.1(极低活性), max=1.5(高活性), 中国农田土壤酶活性参考基线",C
D12_土壤酶活性,蔗糖酶,1.0,15.0,mg/g,positive,关松荫1986,土壤酶及其研究法,"min=1.0(极低活性), max=15.0(高活性), 中国农田土壤酶活性参考基线",C
D13_土壤渗透率,渗透率,0.0,50.0,mm/h,positive,CJ/T340-2016+USDA,绿化种植土壤+USDA Soil Survey Manual,"min=0(完全不渗透), max=50(优良渗透性, CJ/T340要求≥5 mm/h, USDA快速渗透>50)",B
D13_土壤渗透率,饱和水力传导率,0.0,50.0,mm/h,positive,CJ/T340-2016+USDA,同上,同上(别名),B
D14_有效土层厚度,有效土层,10.0,100.0,cm,positive,TD/T1036-2013,土地复垦质量控制标准,"min=10(TD/T1036最小要求10cm), max=100(深厚土层上限)",A
D14_有效土层厚度,土层厚度,10.0,100.0,cm,positive,TD/T1036-2013,同上,同上(别名),A
D15_土壤表面粗糙度,表面粗糙度,0.0,5.0,cm,negative,农业工程手册,农业工程手册(中国农业出版社),"min=0(完全平整最优), max=5.0(随机糙度极大), 农业工程随机糙率参考",C
D3_土壤机械组成,砂粒,0.0,100.0,%,positive,USDA Soil Survey Manual,USDA Soil Survey Manual Ch.3,"min=0(全黏土), max=100(全砂土); 砂粒含量反映土壤质地粗细分",B
D3_土壤机械组成,粉粒,0.0,100.0,%,positive,USDA Soil Survey Manual,USDA Soil Survey Manual Ch.3,"min=0(无粉粒), max=100(全粉粒); 粉粒含量反映土壤持水能力",B
D3_土壤机械组成,黏粒,0.0,100.0,%,positive,USDA Soil Survey Manual,USDA Soil Survey Manual Ch.3,"min=0(无黏粒), max=100(全黏粒); 黏粒含量反映土壤保肥能力",B
D3_土壤机械组成,容重,1.0,1.8,g/cm³,negative,TD/T1036-2013+CJ/T340-2016,土地复垦质量控制标准+绿化种植土壤,"min=1.0(疏松最优), max=1.8(严重压实); TD/T1036容重上限≤1.5, CJ/T340上限<1.35",A
D11_氮磷钾,碱解氮,30.0,150.0,mg/kg,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=30(6级贫乏<30), max=150(1级丰富>150)",A
D11_氮磷钾,速效磷,3.0,40.0,mg/kg,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=3(6级贫乏<3), max=40(1级丰富>40)",A
D11_氮磷钾,全钾,5.0,25.0,g/kg,positive,全国第二次土壤普查,全国第二次土壤普查养分分级,"min=5(6级贫乏<5), max=25(1级丰富>25)",A
