sample_id,x_measured_Ace_ngg,x_measured_Acy_ngg,x_measured_Ant_ngg,x_measured_As_mgkg,x_measured_BaA_ngg,x_measured_BaP_ngg,x_measured_BbF_ngg,x_measured_Be_mgkg,x_measured_BghiP_ngg,x_measured_BkF_ngg,x_measured_CTC_ngg,x_measured_Cd_mgkg,x_measured_Chr_ngg,x_measured_Co_mgkg,x_measured_Cr_mgkg,x_measured_Cu_mgkg,x_measured_DIF_ngg,x_measured_DahA_ngg,x_measured_ENRO_ngg,x_measured_Flt_ngg,x_measured_Flu_ngg,x_measured_Hg_mgkg,x_measured_Ind_ngg,x_measured_Mn_mgkg,x_measured_Nap_ngg,x_measured_Ni_mgkg,x_measured_OCP_total_ngg,x_measured_OC_pct,x_measured_OTC_ngg,x_measured_Pb_mgkg,x_measured_Phe_ngg,x_measured_Pyr_ngg,x_measured_SDZ_ngg,x_measured_SMP_ngg,x_measured_SMZ_ngg,x_measured_SumDDT_ngg,x_measured_SumHCH_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TC_ngg,x_measured_TotalPHC_mgkg,x_measured_V_mgkg,x_measured_Zn_mgkg,x_measured_pH,source_id,paper_id,matrix,site_type,province,n_hm,n_op,latitude,longitude,audit_flag
1-s2.0-S0269749125010206_1-s2.0-S0269749125010206_Thresholds_(mg·kg-1),,,5.5,,,,,,,,,5.5,,,,,,,,1.5,,,,,25.0,,,,,,,0.55,,,,,,,,,,826.0,,,,1-s2.0-S0269749125010206,1-s2.0-S0269749125010206,soil,agricultural,,1,7,,,single_point
"1-s2.0-S0304389424030796_1-s2.0-S0304389424030796_（5_%CI,95_%CI）",,0.00917,0.00346,0.112,,,,,,,,0.00418,,,0.0487,,,,,,0.0974,0.000787,,,0.138,0.00104,,,,0.0147,0.112,0.0843,,,,,,,,,,,,0.00052,,1-s2.0-S0304389424030796,1-s2.0-S0304389424030796,soil,agricultural,,9,6,,,single_point
1-s2.0-S1002016014600370_1-s2.0-S1002016014600370_Arithmetic_mean,,,,,,,,,,,,0.19,,,56.6,,,,,,,,,,,26.3,,,,20.8,,,,,,,,,,,,3.27,62.1,,7.58,1-s2.0-S1002016014600370,1-s2.0-S1002016014600370,soil,agricultural,,4,3,,,single_point
1-s2.0-S1002016014600370_1-s2.0-S1002016014600370_Maximum,,,,,,,,,,,,0.68,,,71.5,1.84,,,,,,,,,,40.7,,,,32.3,,,,,,,,,,,,28.4,81.7,3.6,8.05,1-s2.0-S1002016014600370,1-s2.0-S1002016014600370,soil,agricultural,,10,4,,,single_point
1-s2.0-S1002016014600370_1-s2.0-S1002016014600370_Minimum,,,,,,,,,,,,0.08,,,25.9,,,,,,,,,,,21.6,,,,15.9,,,,,,,,,,,,0.51,49.1,,7.33,1-s2.0-S1002016014600370,1-s2.0-S1002016014600370,soil,agricultural,,4,3,,,single_point
1-s2.0-S1002016014600370_1-s2.0-S1002016014600370_Standard_deviation,,,,,,,,,,,,0.14,,,11.2,,,,,,,,,,,4.5,,,,4.0,,,,,,,,,,,,6.38,7.3,,,1-s2.0-S1002016014600370,1-s2.0-S1002016014600370,soil,agricultural,,4,2,,,single_point
1-s2.0-S1002016015600765_1-s2.0-S1002016015600765_Rings,2.0,2.0,3.0,,,,,,,,,5.0,4.0,,,,,,,3.0,,,,,2.0,,,,,,3.0,4.0,,,,,,,,,,,,,,1-s2.0-S1002016015600765,1-s2.0-S1002016015600765,soil,agricultural,,1,14,,,single_point
10807039.2015.1104627_10807039.2015.1104627_Ingestion,2.3,2.22,6.43,,4.11,1.92,1.76,,,1.22,,,,,2.1,,,2.1,,,,,,,5.96,,,,,,5.87,2.92,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,17,,,single_point
10807039.2015.1104627_10807039.2015.1104627_S1,2.24,1.14,0.5,,7.65,1.26,1.91,,,1.74,,,,,1.87,,,1.87,,,,,,,2.5,,,,,,4.19,0.56,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,11,,,single_point
10807039.2015.1104627_10807039.2015.1104627_S2,2.08,5.17,1.02,,9.76,4.08,4.14,,,1.35,,,,,3.39,,,3.39,,,,,,,4.28,,,,,,7.5,0.44,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,12,,,single_point
10807039.2015.1104627_10807039.2015.1104627_S3,4.48,4.38,2.11,,7.88,2.69,6.5,,,7.54,,,,,8.77,,,3.27,,,,,,,7.16,,,,,,4.87,2.22,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,11,,,single_point
10807039.2015.1104627_10807039.2015.1104627_S5,4.56,3.0,2.45,,8.8,2.95,6.78,,,8.42,,,,,6.6,,,1.96,,,,,,,8.45,,,,,,6.34,3.03,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,11,,,single_point
10807039.2015.1104627_10807039.2015.1104627_S6,2.96,4.77,1.38,,2.9,5.79,4.11,,,2.1,,,,,5.45,,,1.17,,,,,,,5.69,,,,,,9.36,1.51,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,11,,,single_point
10807039.2015.1104627_10807039.2015.1104627_S7,3.6,4.7,1.97,,3.48,4.25,2.55,,,2.48,,,,,1.75,,,1.75,,,,,,,7.58,,,,,,8.11,1.28,,,,,,,,,,,,,,10807039.2015.1104627,10807039.2015.1104627,soil,other,,1,11,,,single_point
10934529.2013.815500_10934529.2013.815500_Percentage_(%),,,4.28,,4.28,9.96,13.42,,9.3,5.41,,1.36,8.61,,,,,,,16.59,16.59,,9.85,,,,,,,,7.81,13.41,,,,,,,,9.3,,,,,,10934529.2013.815500,10934529.2013.815500,soil,industrial,,1,18,,,single_point
10934529.2013.815500_10934529.2013.815500_Rings,,,4.0,,4.0,5.0,5.0,,6.0,5.0,,5.0,4.0,,,,,,,4.0,4.0,,6.0,,,,,,,,3.0,4.0,,,,,,,,6.0,,,,,,10934529.2013.815500,10934529.2013.815500,soil,industrial,,1,18,,,single_point
15320383.2015.958212_15320383.2015.958212_Component_1_(88.27%),0.842,0.287,0.923,,,,,,,,,0.97,0.991,,,,,,,0.981,0.968,,,,0.9,,,,,,0.992,0.989,,,,,,,,,,,,,,15320383.2015.958212,15320383.2015.958212,soil,agricultural,,1,15,,,single_point
15320383.2015.958212_15320383.2015.958212_Max.,0.031,0.697,0.107,,,,,,,,,0.348,1.21,,,,,,,3.278,0.078,,,,0.441,,,,,,1.091,1.977,,,,,,,,,,,,,,15320383.2015.958212,15320383.2015.958212,soil,agricultural,,1,15,,,single_point
15320383.2015.958212_15320383.2015.958212_Min.,0.0,0.0,0.0,,,,,,,,,0.0,0.001,,,,,,,0.0,0.0,,,,0.0,,,,,,0.007,0.001,,,,,,,,,,,,,,15320383.2015.958212,15320383.2015.958212,soil,agricultural,,1,14,,,single_point
15320383.2015.958212_15320383.2015.958212_STDEV,0.006,0.103,0.021,,,,,,,,,0.064,0.209,,,,,,,0.563,0.014,,,,0.069,,,,,,0.19,0.359,,,,,,,,,,,,,,15320383.2015.958212,15320383.2015.958212,soil,agricultural,,1,15,,,single_point
211%252F2017-swr_211%252F2017-swr_Agricultural_land__$(_n_=_3_6_7_)$,,,,3.88,,,,,,,,29.6,,,0.86,2.72,,,,,,8.47,,,,7.14,,,,1.4,,,,,,1.54,0.0,,,,,,,4.52,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,8,2,,,single_point
211%252F2017-swr_211%252F2017-swr_Arable_land__$\left(_n_=_1_5_9_\right)$,,,,4.72,,,,,,,,30.5,,,0.97,1.96,,,,,,3.19,,,,2.0,,,,0.72,,,,,,9.09,0.0,,,,,,,4.08,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,8,2,,,single_point
211%252F2017-swr_211%252F2017-swr_As,,,,,,,,,,,,,,,,,,,,,,,,,,0.094,,,,,,,,,,,0.498,,,,,,,,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,1,1,,,single_point
211%252F2017-swr_211%252F2017-swr_Cr,,,,,,,,,,,,,,,,0.141,,,,,,0.034,,,,,,,,0.037,,,,,,0.518,0.379,,,,,,,,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,3,2,,,single_point
211%252F2017-swr_211%252F2017-swr_East,,,,14.4,,,,,,,,0.39,,,56.9,35.9,,,,,,0.25,,,,29.4,,,,43.9,,,,,,0.05,0.01,,,,,,,98.6,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,16,4,,,single_point
211%252F2017-swr_211%252F2017-swr_Garden__$\left(_n_=_7_7_\right)$,,,,9.09,,,,,,,,42.9,,,1.92,1.72,,,,,,32.4,,,,19.4,,,,3.33,,,,,,0.0,0.0,,,,,,,9.62,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,8,2,,,single_point
211%252F2017-swr_211%252F2017-swr_Grassland_(n=20),,,,0.0,,,,,,,,11.1,,,0.0,0.0,,,,,,11.1,,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,8,2,,,single_point
211%252F2017-swr_211%252F2017-swr_Ni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.099,,,,,,0.612,0.504,,,,,,,,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,1,2,,,single_point
211%252F2017-swr_211%252F2017-swr_North,,,,9.59,,,,,,,,0.25,,,62.9,26.4,,,,,,0.3,,,,33.2,,,,24.9,,,,,,0.02,0.05,,,,,,,78.8,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,16,4,,,single_point
211%252F2017-swr_211%252F2017-swr_Northeast,,,,8.46,,,,,,,,3.46,,,54.8,35.8,,,,,,0.15,,,,23.5,,,,50.2,,,,,,0.02,0.01,,,,,,,303.1,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,16,4,,,single_point
211%252F2017-swr_211%252F2017-swr_Northwest,,,,13.6,,,,,,,,0.41,,,64.5,32.1,,,,,,0.72,,,,40.6,,,,39.5,,,,,,0.0,0.0,,,,,,,94.5,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,16,4,,,single_point
211%252F2017-swr_211%252F2017-swr_Recommended_value,,,,30.0,,,,,,,,0.3,,,200.0,100.0,,,,,,0.5,,,,50.0,,,,300.0,,,,,,0.5,0.5,,,,,,,250.0,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,8,2,,,single_point
211%252F2017-swr_211%252F2017-swr_South_central,,,,11.2,,,,,,,,1.96,,,74.5,33.7,,,,,,0.75,,,,43.3,,,,75.4,,,,,,0.01,0.02,,,,,,,218.5,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,16,4,,,single_point
211%252F2017-swr_211%252F2017-swr_Southwest,,,,18.3,,,,,,,,0.43,,,66.4,47.7,,,,,,0.16,,,,25.2,,,,38.6,,,,,,0.0,0.0,,,,,,,119.5,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,16,4,,,single_point
211%252F2017-swr_211%252F2017-swr_Woodland__$\left(_n_=_3_0_\right)$,,,,10.0,,,,,,,,21.1,,,0.0,3.7,,,,,,18.2,,,,12.5,,,,3.57,,,,,,0.0,0.0,,,,,,,3.7,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,8,2,,,single_point
211%252F2017-swr_211%252F2017-swr_Zn,,,,,,,,,,,,,,,0.121,,,,,,,,,,,0.084,,,,,,,,,,0.584,0.223,,,,,,,,,211%252F2017-swr,211%252F2017-swr,soil,agricultural,,2,2,,,single_point
70602_c2em30856h_70602_c2em30856h_Rings,2.0,2.0,3.0,,,,,,,,,5.0,4.0,,,,,,,3.0,2.0,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,70602_c2em30856h,70602_c2em30856h,soil,mining,,1,14,,,single_point
70603_C3EM00043E_70603_C3EM00043E_EW1,,,,,,,,,,,,0.69,,,79.3,149.0,,,,,,,,,,22.4,,,,106.0,,,,,,,,111.35,,,,,104.0,140.0,,70603_C3EM00043E,70603_C3EM00043E,soil,agricultural,,6,2,,,single_point
70603_C3EM00043E_70603_C3EM00043E_EW2,,,,11.2,,,,,,,,,,5.82,61.3,,,,,,,0.07,,,,27.3,,,,,,,,,,,,1031.65,,,,,69.3,469.0,,70603_C3EM00043E,70603_C3EM00043E,soil,agricultural,,5,3,,,single_point
70603_C3EM00043E_70603_C3EM00043E_EW3,,,,11.7,,,,,,,,2.29,,6.57,91.5,948.0,,,,,,0.4,,,,34.3,,,,514.0,,,,,,,,707.39,,,,,83.2,110.0,,70603_C3EM00043E,70603_C3EM00043E,soil,agricultural,,8,3,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_Ingestion,2.3,2.22,6.43,,4.11,1.92,1.76,,,1.22,,,,,2.1,,,2.1,,,,,,,5.96,,,,,,5.87,2.92,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,17,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_S1,2.24,1.14,0.5,,7.65,1.26,1.91,,,1.74,,,,,1.87,,,1.87,,,,,,,2.5,,,,,,4.19,0.56,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,11,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_S2,2.08,5.17,1.02,,9.76,4.08,4.14,,,1.35,,,,,3.39,,,3.39,,,,,,,4.28,,,,,,7.5,0.44,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,12,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_S3,4.48,4.38,2.11,,7.88,2.69,6.5,,,7.54,,,,,8.77,,,3.27,,,,,,,7.16,,,,,,4.87,2.22,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,11,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_S5,4.56,3.0,2.45,,8.8,2.95,6.78,,,8.42,,,,,6.6,,,1.96,,,,,,,8.45,,,,,,6.34,3.03,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,11,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_S6,2.96,4.77,1.38,,2.9,5.79,4.11,,,2.1,,,,,5.45,,,1.17,,,,,,,5.69,,,,,,9.36,1.51,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,11,,,single_point
70637_10807039.2015.1104627_70637_10807039.2015.1104627_S7,3.6,4.7,1.97,,3.48,4.25,2.55,,,2.48,,,,,1.75,,,1.75,,,,,,,7.58,,,,,,8.11,1.28,,,,,,,,,,,,,,70637_10807039.2015.1104627,70637_10807039.2015.1104627,soil,agricultural,,1,11,,,single_point
70686_15320383.2015.958212_70686_15320383.2015.958212_Component_1_(88.27%),0.842,0.287,0.923,,,,,,,,,0.97,0.991,,,,,,,0.981,0.968,,,,0.9,,,,,,0.992,0.989,,,,,,,,,,,,,,70686_15320383.2015.958212,70686_15320383.2015.958212,soil,other,,1,15,,,single_point
70686_15320383.2015.958212_70686_15320383.2015.958212_Max.,0.031,0.697,0.107,,,,,,,,,0.348,1.21,,,,,,,3.278,0.078,,,,0.441,,,,,,1.091,1.977,,,,,,,,,,,,,,70686_15320383.2015.958212,70686_15320383.2015.958212,soil,other,,1,15,,,single_point
70686_15320383.2015.958212_70686_15320383.2015.958212_Min.,0.0,0.0,0.0,,,,,,,,,0.0,0.001,,,,,,,0.0,0.0,,,,0.0,,,,,,0.007,0.001,,,,,,,,,,,,,,70686_15320383.2015.958212,70686_15320383.2015.958212,soil,other,,1,14,,,single_point
70686_15320383.2015.958212_70686_15320383.2015.958212_STDEV,0.006,0.103,0.021,,,,,,,,,0.064,0.209,,,,,,,0.563,0.014,,,,0.069,,,,,,0.19,0.359,,,,,,,,,,,,,,70686_15320383.2015.958212,70686_15320383.2015.958212,soil,other,,1,15,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_Agricultural,0.48,2.1,2.44,,,,,,,,,7.54,10.22,,,,,,,16.54,1.7,,,,12.12,,,7.07,,,19.52,14.04,,,,,,27.5,0.329,128.0,,,,,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,1,34,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_B(a)P_PEF,,,0.1,,,,,,,,,0.1,0.01,,,,,,,0.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,1,6,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_Reservoir,,,,,,,,,,,,,,,117.05,36.1,,,,,,,,,,,,,,86.25,,,,,,,,4.0,,94.0,,,,75.1,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,4,4,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_Rice_field,,,,,,,,,,,,0.09,,,9.8,41.4,,,,,,,,,,,,,,28.1,,,,,,,,48.0,,,,,,74.9,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,5,1,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_e-Waste_dismantling_workshop,5.58,20.03,119.2,,,,,,,,,209.5,185.9,,,,,,,254.5,21.78,,,,40.15,,,,,,168.7,238.4,,,,,,,1.34,,,,,,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,1,32,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_e-Waste_open_burning_site,6.74,31.32,38.34,,,,,,,,,48.14,48.86,,,,,,,110.2,44.46,,,,173.1,,,,,,209.1,64.32,,,,,,32.34,7.3,1008.0,,,,,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,1,36,,,single_point
72131_s00244-010-9590-6_72131_s00244-010-9590-6_e-Waste_storage,0.36,1.06,1.12,,,,,,,,,7.08,9.5,,,,,,,13.24,0.96,,,,15.38,,,,,,10.24,12.24,,,,,,50.0,0.692,107.0,,,,,,72131_s00244-010-9590-6,72131_s00244-010-9590-6,soil,agricultural,,1,33,,,single_point
72151_S1002-0160(15)60076-5_72151_S1002-0160(15)60076-5_Rings,2.0,2.0,3.0,,,,,,,,,5.0,4.0,,,,,,,3.0,,,,,2.0,,,,,,3.0,4.0,,,,,,,,,,,,,,72151_S1002-0160(15)60076-5,72151_S1002-0160(15)60076-5,soil,agricultural,,1,14,,,single_point
72169_j.jhazmat.2012.06.060_72169_j.jhazmat.2012.06.060_Experimental_groups,180.017,8.947,5.309,,,,,,,,,1.964,,,,,,,,18.338,90.016,,,,1.041,,,,,,27.803,10.048,,,,,,,,313.133,,,,,,72169_j.jhazmat.2012.06.060,72169_j.jhazmat.2012.06.060,soil,agricultural,,1,11,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_1,,,,10.21,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_2,,,,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.71,15.0,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,1,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_3,,,,9.35,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.018,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_4,,,,9.43,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.019,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_5,,,,9.28,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,0.223,0.017,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_6,,,,13.22,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.021,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_Background,,,,79.58,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,266.67,23.81,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_I,,,,15.0,,,,,,,,0.2,,,90.0,35.0,,,,,,0.15,,,,,,,,35.0,,,,,,0.05,0.05,,,,,,,100.0,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,7,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S10,,,,8.4,,,,,,,,0.183,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.019,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S11,,,,2.16,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.003,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
72174_j.jenvman.2005.02.011_72174_j.jenvman.2005.02.011_S12,,,,23.1,,,,,,,,33.33,,,,,,,,,,,,,,,,,,,,,,,,75.63,16.67,,,,,,,,,72174_j.jenvman.2005.02.011,72174_j.jenvman.2005.02.011,soil,agricultural,,2,2,,,single_point
