sample_id,x_measured_,x_measured_Ace_ngg,x_measured_Acy_ngg,x_measured_Ane_ngg,x_measured_Ant_ngg,x_measured_Any_ngg,x_measured_Atrazine_ngg,x_measured_BBP_ngg,x_measured_BaA_ngg,x_measured_BaP_ngg,x_measured_Baa_ngg,x_measured_BbF_ngg,x_measured_Bbf_ngg,x_measured_BghiP_ngg,x_measured_Bgp_ngg,x_measured_BkF_ngg,x_measured_Bkf_ngg,x_measured_CEC_cmolkg,x_measured_CTC,x_measured_CTC_ngg,x_measured_Chlorobenzilate_ngg,x_measured_Chr_ngg,x_measured_Clay_pct,x_measured_Co_mgkg,x_measured_DBP_ngg,x_measured_DEHP_ngg,x_measured_DEP_ngg,x_measured_DMP_ngg,x_measured_DNOP_ngg,x_measured_DahA_ngg,x_measured_DiBP_ngg,x_measured_Dicofol_ngg,x_measured_EC_uScm,x_measured_ENRO,x_measured_ENRO_ngg,x_measured_Endosulfan,x_measured_Endosulfan_ngg,x_measured_Fe_mgkg,x_measured_Fla_ngg,x_measured_Fle_ngg,x_measured_Flt_ngg,x_measured_Flu_ngg,x_measured_HCB_ngg,x_measured_HM_total,x_measured_Heptachlor_ngg,x_measured_IcdP_ngg,x_measured_Ind_ngg,x_measured_Mn_mgkg,x_measured_N/A,x_measured_Nap_ngg,x_measured_OCP_total,x_measured_OC_pct,x_measured_OM_pct,x_measured_OPEs_ngg,x_measured_OP_total,x_measured_OTC,x_measured_OTC_ngg,x_measured_PCB101_ngg,x_measured_PCB138_ngg,x_measured_PCB153_ngg,x_measured_PCB180_ngg,x_measured_PCB28_ngg,x_measured_PCB52_ngg,x_measured_Phe_ngg,x_measured_Pyr_ngg,x_measured_SDZ,x_measured_SDZ_ngg,x_measured_SKIP,x_measured_SMZ,x_measured_SMZ_ngg,x_measured_Sand_pct,x_measured_Silt_pct,x_measured_SumDDT_ngg,x_measured_SumEndosulfan_ngg,x_measured_SumHCH_ngg,x_measured_SumOCP_ngg,x_measured_SumPAE,x_measured_SumPAE_ngg,x_measured_SumPBDE_ngg,x_measured_SumPCB_ngg,x_measured_Sum_PAH_ngg,x_measured_TotalPHC_mgkg,x_measured_V_mgkg,x_measured_none,"x_measured_o, p′-DDD_ngg","x_measured_o, p′-DDE_ngg","x_measured_o, p′-DDT_ngg","x_measured_p, p′-DDD_ngg","x_measured_p, p′-DDE_ngg","x_measured_p, p′-DDT_ngg",x_measured_pH,x_measured_skip,x_measured_α-HCH_ngg,x_measured_γ-HCH_ngg,x_measured_δ-HCH_ngg,x_measured_正文仅min-max范围无采样点级数值,source_id,paper_id,matrix,site_type,province,n_hm,n_op,latitude,longitude,audit_flag,x_measured_SumPFAS_ngg,data_version
02757540.2010.504664_02757540.2010.504664_Max.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,8.3,,,,,,02757540.2010.504664,02757540.2010.504664,soil,other,,0,4,,,single_point,,v2_trusted_augmented_20260715
02757540.2010.504664_02757540.2010.504664_y-HCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,02757540.2010.504664,02757540.2010.504664,soil,other,,0,2,,,single_point,,v2_trusted_augmented_20260715
02757540.2010.504664_02757540.2010.504664_α-HCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,02757540.2010.504664,02757540.2010.504664,soil,other,,0,2,,,single_point,,v2_trusted_augmented_20260715
02757540.2010.504664_02757540.2010.504664_β-HCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,02757540.2010.504664,02757540.2010.504664,soil,other,,0,4,,,single_point,,v2_trusted_augmented_20260715
02757540.2013.844798_02757540.2013.844798_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,,,,,,,,,,02757540.2013.844798,02757540.2013.844798,soil,other,,0,3,,,single_point,,v2_trusted_augmented_20260715
02757540.2013.844798_02757540.2013.844798_S1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1195.1,,,,,,,,,,,,,,,,,,02757540.2013.844798,02757540.2013.844798,soil,other,,0,2,,,single_point,,v2_trusted_augmented_20260715
02757540.2013.844798_02757540.2013.844798_S2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,,,,,,,,,02757540.2013.844798,02757540.2013.844798,soil,other,,0,2,,,single_point,,v2_trusted_augmented_20260715
02757540.2013.844798_02757540.2013.844798_S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,131.1,,,,,,,,,,,,,,,,,,02757540.2013.844798,02757540.2013.844798,soil,other,,0,2,,,single_point,,v2_trusted_augmented_20260715
02757540.2013.844798_02757540.2013.844798_S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889.1,,,,,,,,,,,,,,,,,,02757540.2013.844798,02757540.2013.844798,soil,other,,0,1,,,single_point,,v2_trusted_augmented_20260715
02757540.2013.844798_02757540.2013.844798_S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3128.4,,,,,,,,,,,,,,,,,,02757540.2013.844798,02757540.2013.844798,soil,other,,0,1,,,single_point,,v2_trusted_augmented_20260715
02757540802657193_02757540802657193_$\mathrm_{_O_R_^_{_d_}_}$,,0.0,0.0,,,,,,5.36,3.57,,3.57,,,,1.79,,,,,,10.71,,,,,,,,,,,,,,,,,,,,3.57,,,,,,,,0.0,,,,,,,,,,,,,,16.07,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02757540802657193,02757540802657193,soil,agricultural,,0,11,,,single_point,,v2_trusted_augmented_20260715
02757540802657193_02757540802657193_DR(%),,16.1,1.78,,,,,,100.0,100.0,,100.0,,,,100.0,,,,,,100.0,,,,,,,,,,,,,,,,,,,,98.2,,,,,,,,53.6,,,,,,,,,,,,,,98.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02757540802657193,02757540802657193,soil,agricultural,,0,11,,,single_point,,v2_trusted_augmented_20260715
02757540802657193_02757540802657193_Rings,,3.0,3.0,,,,,,4.0,5.0,,5.0,,,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02757540802657193,02757540802657193,soil,agricultural,,0,11,,,single_point,,v2_trusted_augmented_20260715
03601230500357538_03601230500357538_Min_value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,03601230500357538,03601230500357538,soil,other,,0,6,,,single_point,,v2_trusted_augmented_20260715
03601230500357538_03601230500357538_Standard_deviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,0.14,,,,,,,,,,,,,,,,,,,,,,03601230500357538,03601230500357538,soil,other,,0,6,,,single_point,,v2_trusted_augmented_20260715
09603123.2011.634392_09603123.2011.634392_PC1,,,,,0.963,,,,0.977,0.975,,0.987,,0.973,,0.98,,,,,,0.943,,,,,,,,,,,,,,,,,,,,0.336,,,,,0.973,,,0.047,,,,,,,,,,,,,,,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09603123.2011.634392,09603123.2011.634392,soil,agricultural,,0,11,,,single_point,,v2_trusted_augmented_20260715
09603123.2011.634392_09603123.2011.634392_PC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.843,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09603123.2011.634392,09603123.2011.634392,soil,agricultural,,0,2,,,single_point,,v2_trusted_augmented_20260715
09603123.2011.634392_09603123.2011.634392_Percentage_(%),,,,,,,,,65.5,,,,,,,,,,,,,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09603123.2011.634392,09603123.2011.634392,soil,agricultural,,0,3,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_ADI_(μg/kg_bw_per_day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_EDI_adults_(μg/kg_bw_per_day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,0.004,,,,,0.083,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,3,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_EDI_children_(μg/kg_bw_per_day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,0.02,,,,,0.35,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,3,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_MOEs_adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11250.0,,,,,,,0.1,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,2,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_MOEs_children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2616.0,,,,,,,0.03,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,2,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_Mean_(n_=_6)_(μg/g_ww),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,,,,,,,0.37,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,2,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_PLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8005.0,,,,,,,,,,,,,,,,,,,,,0.001,,,,423.0,3.1,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,16,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_RfD_(μg/kg_bw_per_day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SED1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,39.0,3.34,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,16,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SED2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,1.2,,,,,,,,,,,,,,,,,,,,,0.0006,,,,18.0,0.33,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,18,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SED3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,3.5,,,,,,,,,,,,,,,,,,,,,0.001,,,,0.05,0.1,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,17,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,6,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,6,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,6,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,6,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,,6.3,,,,,,,,,,,,,,,,,,,,,0.0006,,,,3.6,2.25,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,11,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.5,,,,,,,,,,,,,,,,,,,,,0.0009,,,,0.08,0.02,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,8,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.82,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,10,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_SOIL_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,76.0,,,,,,,,,,,,,,,,,,,,,0.0007,,,,0.16,0.03,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,10,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_WAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_WAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_WAT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_WAT5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935122020953_1-s2.0-S0013935122020953_WAT_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935122020953,1-s2.0-S0013935122020953,soil,agricultural,,0,1,,,single_point,,v2_trusted_augmented_20260715
1-s2.0-S0013935124008922_1-s2.0-S0013935124008922_CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,201.5,,,,,,,,,,,,,,,,,,,,,,1-s2.0-S0013935124008922,1-s2.0-S0013935124008922,soil,agricultural,,0,4,,,single_point,,v2_trusted_augmented_20260715
