column,exclusion_type,reason,coverage_pct
Sum_PAH_mgkg,family_absorbed,"PAH 族群列,已被 PAHs_total family aggregate 吸收",0.87
TP_gkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",1.37
TotalPCB_ugg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.44
TotalPHC_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",1.21
WaterSolubleSalt_gkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.15
o_p_DDT_ngg,family_absorbed,"DDT 代谢物,已被 SumDDTs 族群吸收",0.21
p_p_DDD_ngg,family_absorbed,"DDT 代谢物,已被 SumDDTs 族群吸收",0.25
p_p_DDE_ngg,family_absorbed,"DDT 代谢物,已被 SumDDTs 族群吸收",0.26
p_p_DDT_ngg,family_absorbed,"DDT 代谢物,已被 SumDDTs 族群吸收",0.28
BC_ugg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.61
ICP_ngg,family_absorbed,"PAH 单体,已被 PAHs_total family aggregate 吸收",1.93
Mo_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",0.11
PCN24,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.26
Sum16PAH_ngg,family_absorbed,"PAH 族群列,已被 PAHs_total family aggregate 吸收",0.84
Sum7PAH_ngg,family_absorbed,"PAH 族群列,已被 PAHs_total family aggregate 吸收",0.12
DMP_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.33
DEP_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.34
DBP_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.37
BBP_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.28
DEHP_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.41
DNOP_ugkg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.31
Ti_mgkg,context_unmapped,"高覆盖但未进入本轮 formal/extended 映射,作为背景候选待 v0.9 评估",0.12
Is_China,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",78.79
PFOA_ngg,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",0.13
Latitude,metadata,非诊断因子(年份/海拔等元数据),100.0
Longitude,metadata,非诊断因子(年份/海拔等元数据),100.0
site_id,low_priority_unmapped,"高覆盖但本轮未归类,记入 excluded 待后续版本处理",100.0
