sample_id,site_id,source_id,province,pollution_type,OI_prod_formal,has_obstacle_prod_formal,OI_prod_extended,has_obstacle_prod_extended,OI_eco_formal,has_obstacle_eco_formal,OI_eco_extended,has_obstacle_eco_extended,prod_obstacle_level,eco_obstacle_level,target_version
15,16,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
16,17,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
17,18,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
18,19,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
19,20,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
20,21,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
21,22,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
22,23,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
23,24,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
24,25,https://figshare.com/articles/22785971,青海,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
25,26,https://figshare.com/articles/22785971,西藏,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
26,27,https://figshare.com/articles/22785971,云南,HM,0.0808,1,0.0808,1,0.0583,1,0.0583,1,中障碍,中障碍,v0.8_gold
27,28,https://figshare.com/articles/22785971,云南,HM,0.1122,1,0.1122,1,0.0824,1,0.0824,1,中障碍,中障碍,v0.8_gold
28,29,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
29,30,https://figshare.com/articles/22785971,云南,HM,0.2627,1,0.2627,1,0.1548,1,0.1548,1,高障碍,高障碍,v0.8_gold
30,31,https://figshare.com/articles/22785971,云南,HM,0.2627,1,0.2627,1,0.1548,1,0.1548,1,高障碍,高障碍,v0.8_gold
31,32,https://figshare.com/articles/22785971,云南,HM,0.2627,1,0.2627,1,0.1548,1,0.1548,1,高障碍,高障碍,v0.8_gold
32,33,https://figshare.com/articles/22785971,云南,HM,0.29,1,0.29,1,0.29,1,0.29,1,高障碍,高障碍,v0.8_gold
33,34,https://figshare.com/articles/22785971,云南,HM,0.4147,1,0.4147,1,0.4147,1,0.4147,1,高障碍,高障碍,v0.8_gold
34,35,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
35,36,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
36,37,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
37,38,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
38,39,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
39,40,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
40,41,https://figshare.com/articles/22785971,云南,HM,0.0953,1,0.0953,1,0.1033,1,0.1033,1,中障碍,中障碍,v0.8_gold
41,42,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
42,43,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
43,44,https://figshare.com/articles/22785971,云南,HM,0.424,1,0.424,1,0.3664,1,0.3664,1,高障碍,高障碍,v0.8_gold
44,45,https://figshare.com/articles/22785971,云南,HM,0.1478,1,0.1478,1,0.0977,1,0.0977,1,高障碍,中障碍,v0.8_gold
45,46,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
46,47,https://figshare.com/articles/22785971,四川,HM,0.0851,1,0.0851,1,0.0867,1,0.0867,1,中障碍,中障碍,v0.8_gold
47,48,https://figshare.com/articles/22785971,云南,HM,0.1841,1,0.1841,1,0.1628,1,0.1628,1,高障碍,高障碍,v0.8_gold
48,49,https://figshare.com/articles/22785971,四川,HM,0.198,1,0.198,1,0.2119,1,0.2119,1,高障碍,高障碍,v0.8_gold
49,50,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
50,51,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
51,52,https://figshare.com/articles/22785971,四川,HM,0.2522,1,0.2522,1,0.3037,1,0.3037,1,高障碍,高障碍,v0.8_gold
52,53,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
53,54,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
54,55,https://figshare.com/articles/22785971,四川,HM,0.0851,1,0.0851,1,0.0867,1,0.0867,1,中障碍,中障碍,v0.8_gold
55,56,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
56,57,https://figshare.com/articles/22785971,四川,HM,0.4679,1,0.4679,1,0.1864,1,0.1864,1,高障碍,高障碍,v0.8_gold
57,58,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
58,59,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
59,60,https://figshare.com/articles/22785971,四川,HM,0.0889,1,0.0889,1,0.0967,1,0.0967,1,中障碍,中障碍,v0.8_gold
60,61,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
61,62,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
62,63,https://figshare.com/articles/22785971,四川,HM,0.0957,1,0.0957,1,0.1104,1,0.1104,1,中障碍,中障碍,v0.8_gold
63,64,https://figshare.com/articles/22785971,四川,HM,0.2672,1,0.2672,1,0.2521,1,0.2521,1,高障碍,高障碍,v0.8_gold
64,65,https://figshare.com/articles/22785971,四川,HM,0.052,1,0.052,1,0.0314,1,0.0314,1,中障碍,中障碍,v0.8_gold
65,66,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
66,67,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
67,68,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
68,69,https://figshare.com/articles/22785971,云南,HM,0.3253,1,0.3253,1,0.2497,1,0.2497,1,高障碍,高障碍,v0.8_gold
69,70,https://figshare.com/articles/22785971,四川,HM,0.7989,1,0.7989,1,0.7148,1,0.7148,1,高障碍,高障碍,v0.8_gold
70,71,https://figshare.com/articles/22785971,云南,HM,0.5968,1,0.5968,1,0.4638,1,0.4638,1,高障碍,高障碍,v0.8_gold
71,72,https://figshare.com/articles/22785971,云南,HM,0.0524,1,0.0524,1,0.0567,1,0.0567,1,中障碍,中障碍,v0.8_gold
72,73,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
73,74,https://figshare.com/articles/22785971,云南,HM,0.0407,1,0.0407,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
74,75,https://figshare.com/articles/22785971,云南,HM,0.137,1,0.137,1,0.0833,1,0.0833,1,高障碍,中障碍,v0.8_gold
75,76,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
76,77,https://figshare.com/articles/22785971,云南,HM,0.0416,1,0.0416,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
77,78,https://figshare.com/articles/22785971,云南,HM,0.0885,1,0.0885,1,0.0464,1,0.0464,1,中障碍,中障碍,v0.8_gold
78,79,https://figshare.com/articles/22785971,云南,HM,0.344,1,0.344,1,0.288,1,0.288,1,高障碍,高障碍,v0.8_gold
79,80,https://figshare.com/articles/22785971,云南,HM,0.045,1,0.045,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
80,81,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
81,82,https://figshare.com/articles/22785971,云南,HM,0.0419,1,0.0419,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
82,83,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
83,84,https://figshare.com/articles/22785971,云南,HM,0.0693,1,0.0693,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
84,85,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
85,86,https://figshare.com/articles/22785971,云南,HM,0.0432,1,0.0432,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
86,87,https://figshare.com/articles/22785971,云南,HM,0.0759,1,0.0759,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
87,88,https://figshare.com/articles/22785971,云南,HM,0.0648,1,0.0648,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
88,89,https://figshare.com/articles/22785971,云南,HM,0.5775,1,0.5775,1,0.4768,1,0.4768,1,高障碍,高障碍,v0.8_gold
89,90,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
90,91,https://figshare.com/articles/22785971,四川,HM,0.0473,1,0.0473,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
91,92,https://figshare.com/articles/22785971,云南,HM,0.1778,1,0.1778,1,0.1262,1,0.1262,1,高障碍,中障碍,v0.8_gold
92,93,https://figshare.com/articles/22785971,四川,HM,0.1591,1,0.1591,1,0.1834,1,0.1834,1,高障碍,高障碍,v0.8_gold
93,94,https://figshare.com/articles/22785971,云南,HM,0.363,1,0.363,1,0.2852,1,0.2852,1,高障碍,高障碍,v0.8_gold
94,95,https://figshare.com/articles/22785971,四川,HM,0.8254,1,0.8254,1,0.8277,1,0.8277,1,高障碍,高障碍,v0.8_gold
95,96,https://figshare.com/articles/22785971,云南,HM,0.38,1,0.38,1,0.2735,1,0.2735,1,高障碍,高障碍,v0.8_gold
96,97,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
97,98,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
98,99,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
99,100,https://figshare.com/articles/22785971,云南,HM,0.5709,1,0.5709,1,0.5007,1,0.5007,1,高障碍,高障碍,v0.8_gold
100,101,https://figshare.com/articles/22785971,云南,HM,0.2719,1,0.2719,1,0.262,1,0.262,1,高障碍,高障碍,v0.8_gold
101,102,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
102,103,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
103,104,https://figshare.com/articles/22785971,云南,HM,0.0273,1,0.0273,1,0.0244,1,0.0244,1,中障碍,中障碍,v0.8_gold
104,105,https://figshare.com/articles/22785971,云南,HM,0.2622,1,0.2622,1,0.2436,1,0.2436,1,高障碍,高障碍,v0.8_gold
105,106,https://figshare.com/articles/22785971,云南,HM,0.8721,1,0.8721,1,0.8259,1,0.8259,1,高障碍,高障碍,v0.8_gold
106,107,https://figshare.com/articles/22785971,云南,HM,0.3962,1,0.3962,1,0.1925,1,0.1925,1,高障碍,高障碍,v0.8_gold
107,108,https://figshare.com/articles/22785971,云南,HM,0.8621,1,0.8621,1,0.7729,1,0.7729,1,高障碍,高障碍,v0.8_gold
108,109,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
109,110,https://figshare.com/articles/22785971,四川,HM,0.2925,1,0.2925,1,0.2925,1,0.2925,1,高障碍,高障碍,v0.8_gold
110,111,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
111,112,https://figshare.com/articles/22785971,云南,HM,0.7007,1,0.7007,1,0.5186,1,0.5186,1,高障碍,高障碍,v0.8_gold
112,113,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
113,114,https://figshare.com/articles/22785971,四川,HM,0.2204,1,0.2204,1,0.249,1,0.249,1,高障碍,高障碍,v0.8_gold
114,115,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
115,116,https://figshare.com/articles/22785971,云南,HM,0.0552,1,0.0552,1,0.0359,1,0.0359,1,中障碍,中障碍,v0.8_gold
116,117,https://figshare.com/articles/22785971,四川,HM,0.0603,1,0.0603,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
117,118,https://figshare.com/articles/22785971,云南,HM,0.0398,1,0.0398,1,0.0431,1,0.0431,1,中障碍,中障碍,v0.8_gold
118,119,https://figshare.com/articles/22785971,云南,HM,0.1043,1,0.1043,1,0.1203,1,0.1203,1,中障碍,中障碍,v0.8_gold
119,120,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
120,121,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
121,122,https://figshare.com/articles/22785971,四川,HM,0.1659,1,0.1659,1,0.2059,1,0.2059,1,高障碍,高障碍,v0.8_gold
122,123,https://figshare.com/articles/22785971,四川,HM,0.0608,1,0.0608,1,0.0,0,0.0,0,中障碍,无障碍,v0.8_gold
123,124,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
124,125,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
125,126,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
126,127,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
127,128,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
128,129,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
129,130,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
130,131,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
131,132,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
132,133,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
133,134,https://figshare.com/articles/22785971,四川,HM,0.2676,1,0.2676,1,0.2019,1,0.2019,1,高障碍,高障碍,v0.8_gold
134,135,https://figshare.com/articles/22785971,四川,HM,0.0436,1,0.0436,1,0.0472,1,0.0472,1,中障碍,中障碍,v0.8_gold
135,136,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
136,137,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
137,138,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
138,139,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
139,140,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
140,141,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
141,142,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
142,143,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
143,144,https://figshare.com/articles/22785971,贵州,HM,0.1289,1,0.1289,1,0.1509,1,0.1509,1,中障碍,高障碍,v0.8_gold
144,145,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
145,146,https://figshare.com/articles/22785971,贵州,HM,0.0887,1,0.0887,1,0.1031,1,0.1031,1,中障碍,中障碍,v0.8_gold
146,147,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
147,148,https://figshare.com/articles/22785971,贵州,HM,0.0658,1,0.0658,1,0.0712,1,0.0712,1,中障碍,中障碍,v0.8_gold
148,149,https://figshare.com/articles/22785971,贵州,HM,0.0662,1,0.0662,1,0.0717,1,0.0717,1,中障碍,中障碍,v0.8_gold
149,150,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
150,151,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
151,152,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
152,153,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
153,154,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
154,155,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
155,156,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
156,157,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
157,158,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
158,159,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
159,160,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
160,161,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
161,162,https://figshare.com/articles/22785971,贵州,HM,0.343,1,0.343,1,0.2032,1,0.2032,1,高障碍,高障碍,v0.8_gold
162,163,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
163,164,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
164,165,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
165,166,https://figshare.com/articles/22785971,贵州,HM,0.6256,1,0.6256,1,0.5138,1,0.5138,1,高障碍,高障碍,v0.8_gold
166,167,https://figshare.com/articles/22785971,贵州,HM,0.6381,1,0.6381,1,0.5711,1,0.5711,1,高障碍,高障碍,v0.8_gold
167,168,https://figshare.com/articles/22785971,云南,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
168,169,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
169,170,https://figshare.com/articles/22785971,贵州,HM,0.195,1,0.195,1,0.0971,1,0.0971,1,高障碍,中障碍,v0.8_gold
170,171,https://figshare.com/articles/22785971,贵州,HM,0.2248,1,0.2248,1,0.1211,1,0.1211,1,高障碍,中障碍,v0.8_gold
171,172,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
172,173,https://figshare.com/articles/22785971,贵州,HM,0.3469,1,0.3469,1,0.3397,1,0.3397,1,高障碍,高障碍,v0.8_gold
173,174,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
174,175,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
175,176,https://figshare.com/articles/22785971,四川,HM,0.1627,1,0.1627,1,0.1837,1,0.1837,1,高障碍,高障碍,v0.8_gold
176,177,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
177,178,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
178,179,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
179,180,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
180,181,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
181,182,https://figshare.com/articles/22785971,贵州,HM,0.0662,1,0.0662,1,0.0717,1,0.0717,1,中障碍,中障碍,v0.8_gold
182,183,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
183,184,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
184,185,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
185,186,https://figshare.com/articles/22785971,贵州,HM,0.1069,1,0.1069,1,0.0628,1,0.0628,1,中障碍,中障碍,v0.8_gold
186,187,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
187,188,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
188,189,https://figshare.com/articles/22785971,贵州,HM,0.0539,1,0.0539,1,0.0621,1,0.0621,1,中障碍,中障碍,v0.8_gold
189,190,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
190,191,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
191,192,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
192,193,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
193,194,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
194,195,https://figshare.com/articles/22785971,四川,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
195,196,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
196,197,https://figshare.com/articles/22785971,重庆,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
197,198,https://figshare.com/articles/22785971,贵州,HM,0.2533,1,0.2533,1,0.1975,1,0.1975,1,高障碍,高障碍,v0.8_gold
198,199,https://figshare.com/articles/22785971,甘肃,HM,0.245,1,0.245,1,0.3037,1,0.3037,1,高障碍,高障碍,v0.8_gold
199,200,https://figshare.com/articles/22785971,贵州,HM,0.0,0,0.0,0,0.0,0,0.0,0,无障碍,无障碍,v0.8_gold
