sample_id,site_id,source_id,province,pollution_type,split,subset,split_strategy,split_version,split_site_group,split_source_group,split_region_holdout,region
6063,6064,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6064,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6064,6065,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6065,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6065,6066,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6066,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6066,6067,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6067,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6067,6068,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6068,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6068,6069,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6069,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6069,6070,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6070,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6070,6071,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6071,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6071,6072,10.1371/journal.pone.0268615,天津,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6072,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6072,6073,10.1371/journal.pone.0268615,北京,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6073,10.1371/journal.pone.0268615,"skipped: province 过多, 本版不强制",
6073,6074,10.1038/s41598-022-15285-5,吉林,PAH,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6074,10.1038/s41598-022-15285-5,"skipped: province 过多, 本版不强制",
6074,6075,10.1038/srep17624,广东,OCP,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6075,10.1038/srep17624,"skipped: province 过多, 本版不强制",
6075,6076,10.1038/srep17624,广东,OCP,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6076,10.1038/srep17624,"skipped: province 过多, 本版不强制",
6076,6077,10.1038/srep17624,广东,OCP,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6077,10.1038/srep17624,"skipped: province 过多, 本版不强制",
6077,6078,10.1038/srep17624,广东,OCP,train,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6078,10.1038/srep17624,"skipped: province 过多, 本版不强制",
6078,6079,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6079,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6079,6080,10.3389/fenvs.2023.1114027,河北,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6080,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6080,6081,10.3389/fenvs.2023.1114027,福建,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6081,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6081,6082,10.3389/fenvs.2023.1114027,河南,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6082,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6082,6083,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6083,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6083,6084,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6084,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6084,6085,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6085,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6085,6086,10.3389/fenvs.2023.1114027,河北,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6086,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6086,6087,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6087,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6087,6088,10.3389/fenvs.2023.1114027,黑龙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6088,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6088,6089,10.3389/fenvs.2023.1114027,黑龙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6089,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6089,6090,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6090,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6090,6091,10.3389/fenvs.2023.1114027,河南,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6091,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6091,6092,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6092,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6092,6093,10.3389/fenvs.2023.1114027,山东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6093,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6093,6094,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6094,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6094,6095,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6095,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6095,6096,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6096,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6096,6097,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6097,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6097,6098,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6098,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6098,6099,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6099,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6099,6100,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6100,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6100,6101,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6101,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6101,6102,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6102,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6102,6103,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6103,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6103,6104,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6104,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6104,6105,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6105,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6105,6106,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6106,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6106,6107,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6107,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6107,6108,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6108,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6108,6109,10.3389/fenvs.2023.1114027,江苏,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6109,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6109,6110,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6110,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6110,6111,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6111,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6111,6112,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6112,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6112,6113,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6113,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6113,6114,10.3389/fenvs.2023.1114027,福建,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6114,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6114,6115,10.3389/fenvs.2023.1114027,陕西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6115,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6115,6116,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6116,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6116,6117,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6117,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6117,6118,10.3389/fenvs.2023.1114027,内蒙古,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6118,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6118,6119,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6119,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6119,6120,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6120,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6120,6121,10.3389/fenvs.2023.1114027,湖北,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6121,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6121,6122,10.3389/fenvs.2023.1114027,湖北,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6122,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6122,6123,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6123,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6123,6124,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6124,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6124,6125,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6125,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6125,6126,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6126,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6126,6127,10.3389/fenvs.2023.1114027,黑龙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6127,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6127,6128,10.3389/fenvs.2023.1114027,辽宁,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6128,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6128,6129,10.3389/fenvs.2023.1114027,内蒙古,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6129,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6129,6130,10.3389/fenvs.2023.1114027,陕西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6130,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6130,6131,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6131,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6131,6132,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6132,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6132,6133,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6133,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6133,6134,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6134,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6134,6135,10.3389/fenvs.2023.1114027,河北,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6135,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6135,6136,10.3389/fenvs.2023.1114027,江苏,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6136,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6136,6137,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6137,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6137,6138,10.3389/fenvs.2023.1114027,内蒙古,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6138,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6138,6139,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6139,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6139,6140,10.3389/fenvs.2023.1114027,山西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6140,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6140,6141,10.3389/fenvs.2023.1114027,天津,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6141,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6141,6142,10.3389/fenvs.2023.1114027,山西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6142,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6142,6143,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6143,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6143,6144,10.3389/fenvs.2023.1114027,福建,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6144,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6144,6145,10.3389/fenvs.2023.1114027,甘肃,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6145,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6145,6146,10.3389/fenvs.2023.1114027,陕西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6146,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6146,6147,10.3389/fenvs.2023.1114027,西藏,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6147,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6147,6148,10.3389/fenvs.2023.1114027,山西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6148,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6148,6149,10.3389/fenvs.2023.1114027,福建,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6149,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6149,6150,10.3389/fenvs.2023.1114027,西藏,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6150,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6150,6151,10.3389/fenvs.2023.1114027,西藏,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6151,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6151,6152,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6152,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6152,6153,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6153,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6153,6154,10.3389/fenvs.2023.1114027,辽宁,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6154,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6154,6155,10.3389/fenvs.2023.1114027,甘肃,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6155,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6155,6156,10.3389/fenvs.2023.1114027,上海,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6156,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6156,6157,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6157,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6157,6158,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6158,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6158,6159,10.3389/fenvs.2023.1114027,安徽,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6159,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6159,6160,10.3389/fenvs.2023.1114027,北京,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6160,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6160,6161,10.3389/fenvs.2023.1114027,广东,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6161,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6161,6162,10.3389/fenvs.2023.1114027,四川,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6162,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6162,6163,10.3389/fenvs.2023.1114027,辽宁,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6163,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6163,6164,10.3389/fenvs.2023.1114027,江西,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6164,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
6164,6165,10.3389/fenvs.2023.1114027,浙江,PAH,valid,op,source_level_stratified_groupkfold,v0.8_op_stratified_fix,6165,10.3389/fenvs.2023.1114027,"skipped: province 过多, 本版不强制",
